"Change
Ind.","Valid
From","Valid
Until",ID,Airway,From,To,"Point or
Airspace",Utilization,"Time
Applicability",Categorisation,"Operational
Goal",Remarks,ATC Unit,NAS/FAB,"Release
Date","Special Event and 
Crisis"
AMD,22 JUN 2025 [2506],UFN,LF3416,,,,LFRRVKWIU,"NOT AVBL FOR TFC
DEP (EGLL, EGKK, EGGD, EGFF, EGTE, EGHI, EGHH)",AIRAC MAR-FIRST AIRAC OCT  06:00-119:00 (05:00-1018:00),C,"To offload upper sectors (LFRRVKWIU)  : kind of light  FL6RVK)  :   FL7RVK scenario.
Traffic should file at FL lower than FL355",,,LF,20 JUN 2025,
AMD,2506 [12 JUN 2025],25 OCT 2025 [2510],NM2074,,,,LHCCFIR,"NOT AVBL FOR TFC
1. DEP (LROP, LRBS, LRCV) AND-THEN ARR LI**
2. DEP LI** AND-THEN ARR (LROP, LRBS, LRCV)","(LYTSA11, LYTSA11Z, LYTSA12, LYTSA12Z) NOT ACT",C,"Summer 2025 measures to offload Hungary in the summer
When the LYTSA11/Z, LYTSA12/Z are NOT active, traffic should route VIA LY. When the areas are active traffic should be allowed to file via LH, due to the very limited routing options, otherwise.","Possible suspension on D-1 due to convective weather
To avoid reject on reroute via LH when TSAs are active, Ref loc for item 1 is LR-LH BDRY and Ref loc for item 2 is LH-LR BDRY",LHCCACC,NM,10 JUN 2025,Summer2025
DEL,23 JUN 2025 [2506],UFN,NM2074,,,,LHCCFIR,"NOT AVBL FOR TFC
1. DEP (LROP, LRBS, LRCV) AND-THEN ARR LI**
2. DEP LI** AND-THEN ARR (LROP, LRBS, LRCV)","(LYTSA11, LYTSA11Z, LYTSA12, LYTSA12Z) NOT ACT",C,"Summer 2025 measures to offload Hungary in the summer
When the LYTSA11/Z, LYTSA12/Z are NOT active, traffic should route VIA LY. When the areas are active traffic should be allowed to file via LH, due to the very limited routing options, otherwise.","Possible suspension on D-1 due to convective weather
To avoid reject on reroute via LH when TSAs are active, Ref loc for item 1 is LR-LH BDRY and Ref loc for item 2 is LH-LR BDRY",LHCCACC,NM,20 JUN 2025,Summer2025
NEW,21 JUN 2025 [2506],UFN,LC2125,,,,"(PASOS, LAKTO, RASDA)","NOT AVBL FOR TFC
DEP HE** & RFL ABV FL345 IN LC",H24,S,Create a common level gap ,,LCCCACC,LC,20 JUN 2025,
NEW,21 JUN 2025 [2506],UFN,LC2126,,,,"(PASOS, LAKTO, RASDA)","NOT AVBL FOR TFC
XNG OE - HE BDRY AND-THEN ARR (LF, LONDON_GROUP, LI, LS, EB, EI,  LG , FRANKFURT_GROUP, LD**, EH**)
",H24,S,To balance traffic between RASDA and LAKTO,,LCCCACC,LC,20 JUN 2025,
NEW,21 JUN 2025 [2506],UFN,LC2127,,,,PASOS,"COMPULSORY FOR TFC
XNG OE - HE BDRY AND-THEN ARR (OLBA, LCLK)",H24,S,Traffic orientation  ,,LCCCACC,LC,20 JUN 2025,
NEW,21 JUN 2025 [2506],UFN,LC2128,,,,PASOS,"COMPULSORY FOR TFC
XNG OE - HE BDRY AND-THEN VIA VESAR",H24,S,Traffic orientation    ,,LCCCACC,LC,20 JUN 2025,
NEW,21 JUN 2025 [2506],UFN,LC2129,N307,MELDO,LAKTO,,"NOT AVBL FOR TFC
XNG OE - HE BDRY",H24,S,Traffic orientation   ,,LCCCACC,LC,20 JUN 2025,
NEW,21 JUN 2025 [2506],UFN,LC2130,,,,LOVEX,"NOT AVBL FOR TFC
VIA PASOS",H24,S,Traffic orientation   ,,LCCCACC,LC,20 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2000,T171,NIMAB,LASTO,,"ONLY AVBL FOR TFC
ARR (FRANKFURT_GROUP, FRANKFURT_YZ_GROUP)",H24,S,To segregate arriving traffic from transit traffic,,"(EDMMACC,
, EDUUUAC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2001,Z115,MAG,ORTAG,,"NOT AVBL FOR TFC
1. ARR (ED**/**, ET**) EXC 
1
    a. ARR (EDNY, EDTL, EDTM)
2. TFC )
    b. VIA (ORTAG T177 ESEGU
3)
    c. DEP EDDB",H24,S,"To segregate traffic.
Not listed ARR ED/ET should file via GALMA (if not via T177).",,"(EDMMACC,
, EDWWACC,
, EDUUUAC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2009,L87,TADUV,TOGRO,,"NOT AVBL FOR TFC
1. ABV FL315 EXC 
1AT (TADUV L87 TOGRO) EXC
    a. ARR (EDDR, EDDS, EDFM, EDFV, EDJA, EDRY, EDRZ, EDTL, EDTY, EDSB, EDTM, ETAR)
    ) & VIA (TOGRO T202 SULED DCT BAMKI
2)
    b. ARR EDDN
   BTN 17:00-07:00 (16:00-06:00) AT TADUV
3
    c. ARR (EDQ*, ETSI, ETSN)","1. a. H24
1. b. 17:00-07:00 (16:00-06:00) AT TADUV
1. c. H24",S,To offer listed ARR better connection and limit all other traffic to FL315 and below within EDMM AoR. (LoA and OLDI requirement),,"(EDMMACC,
, EDUUUAC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2010,M736,MAG,GALMA,,"NOT AVBL FOR TFC
1. DEP (EDDB, HAVEL_GROUP)
) EXC
1
    a. VIA (GALMA Z94 WEMAR
2. WITH )
    b. ARR (EDQ*, EDDE)
3)
    c. BLW FL245 AT (MAG M736 GALMA)",H24,S,to segregate traffic departing EDDB,,"(EDMMACC,
, EDWWACC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2015,T726,RASPU,GORKO,,"ONLY AVBL FOR TFC
ARR EDDE",H24,S,to allow northbound traffic only inbound EDDE,,"(EDGGACC,
, EDMMACC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2016,Z94,BAMKI,VAGAB,,"NOT AVBL FOR TFC
VIA (VAGAB T170 GAPLA)",H24,C,to avoid unusual turning,,"(EDMMACC,
, EDUUUAC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2017,T279,TIKNI,TAMEB,,"ONLY AVBL FOR TFC
ARR (EDDB, EDDP, EDAC, EDAZ, HAVEL_GROUP)",H24,S,to segregate arriving traffic,,"(EDMMACC,
, EDUUUAC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2021,,,,MAG,"NOT AVBL FOR TFC
VIA UBIGI AND -THEN VIA ABGUS",H24,S,to force traffic on shorter route option,,EDWWACC,ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2023,L603,KOSEK,RENLO,,"NOT AVBL FOR TFC
1. ARR (EDDM, EDJA, EDMA, EDMO, EDTY, ETSI, ETSL, ETSN)
2. ARR EDDM EXC DEP EDDN WITH ARR EDDM",H24,S,To force traffic on to transition route T104,,"(EDGGACC,
, EDMMACC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2027,Z20,BUROK,MAG,,"NOT AVBL FOR TFC
DEP HAVEL_GROUP",H24,S,to segragate traffic,,"(EDWWACC,
, EDUUUAC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2032,L604,LAMSI,SULUS,,"NOT AVBL FOR TFC
VIA (LAMSI L604 SULUS ABV FL245 AND THEN
VIA SULUS L984 LOHRE L984 LOHRE) & ABV FL245 AT (LAMSI L604 SULUS) EXC ARR EDGS",H24,S,To force traffic to other transition routes as L610 or e.g. ARR EDDK via L604-DEMAB/F240-T842-EBANA/F120-T842-RUNER-T858-KOPAG,,"(EDUUUAC,
, EDMMACC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2034,L604,DEMAB,SULUS,,"ONLY AVBL FOR TFC
DEP (EDFQ, EDLI, EDLP, EDVK) & ABV FL245 AT (DEMAB L604 SULUS)",H24,S,To enable opposite traffic,,"(EDGGACC,
, EDUUUAC,
, EDMMACC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2036,,,,"(EDUUSAL1A, EDUUSPE1P)","NOT AVBL FOR TFC
ARR ETAR
 EXC VIA  
 (SULED DCT BAMKI Z94 GORKO T726 RUFGA Z93 UBENO N850 RINEX Z97 MANEM Q762 XIDOD DCT ETAR)",H24,S,"Connecting Routes to / from KUAC
To force traffic via dedicated routes/points allowing transition to / from upper airspace.
For listed DCT  RAD ANNEX 3B refers.
Route options to SULED:
- via EDUUFRAN ...  VEVAS L87 TOGRO T202 SULED
or any other FRA point - if above FL315- , such as (VEVAS, GOBAX, SUBIX, XIGRI, GILAS, ALUKA, PESEL, BANUB, DETNI) DCT SULED 
-(GOVEN/KORUP/KOBUS/LASIS/RENDO) DCT SULED in EDUUFRAE",,"(EDUUUAC,
, EDMMACC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2038,,,,EDUUOH,"NOT AVBL FOR TFC
1. ARR ETAR
 EXC VIA EDUUOH AND -THEN VIA
1. EDYYUTA
2. 
    a. VIA EDYYUTA
    b. VIA (SULED DCT BAMKI)",H24,S,"Connecting Routes to / from KUAC
To force traffic via dedicated routes/points allowing transition to / from upper airspace.
For listed DCT in option 2 RAD ANNEX 3B refers",,"(EDUUUAC,
, EDMMACC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2041,L607,EMGOD,UBIDU,,"NOT AVBL FOR TFC
1. BLW FL135 AT (EMGOD L607 UBIDU)
) EXC DEP ETAD
2. ABV FL245 AT (EMGOD L607 UBIDU)
) EXC 
    a. DEP (EBBR, EBCI, EBCV, EBLG, EBMB, EHBK, EHEH, ELLX)
    b. DEP EDDL & VIA (UBIDU L607 ABUKA)
    c. ARR (EDDS, EDFQ, EDQG, EDSB, EDVK, ETHN)
3. ARR (EDFM, EDFV, EDRY)
4. DEP (EDDR, EDRZ, ETAR)",H24,S,To avoid Frankfurt Approach airspace,,"(EDGGACC, EDUUUAC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2042,N624,NOTGA,NIKUT,,"NOT AVBL FOR TFC
DEP EDDF",H24,C,to force traffic onto expected route and to avoid creative flight planning,,"(EDGGACC,
, EDMMACC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2045,L607,MOMUK,BEMKI,,"NOT AVBL FOR TFC
VIA 
1. 1. VIA (XEBIX Y740 TIRUL
   ) EXC DEP EDDS
2. VIA (XEBIX N871 KOGOL
   EXC 
   ) EXC
    a. ARR LOWS 
    b. DEP LFST 
   WITH  & ARR LOWW",H24,S,"To force traffic off N871 to avoid TRA
1. To facilitate arriving traffic
2. To facilitate a city pair",,"(EDUUUAC,
, EDMMACC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2046,Z3,ETAGO,LBU,,"ONLY AVBL FOR TFC
1. DEP (EDNY, LSMD, LSZH, LSZR)
) & BTN FL145-FL235 AT (ETAGO Z3 LBU)
2. DEP EDJA",H24,S,To segregate departing traffic from transit traffic,,EDGGACC,ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2047,P994,DOSEL,AMDID,,"NOT AVBL FOR TFC
VIA L1731. VIA (AMDID L173 EBEDA)
2. VIA (AMDID L173 TITIG)",H24,C,to avoid unexpected sharp turns,,"(EDMMACC,
, EDUUUAC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2050,L610,UPALA,STAUB,,"ONLY AVBL FOR TFC
1. ARR EDMMFIR
 EXC ARR EDDM
2. ARR LOWS 
3. BLW FL135 AT (UPALA L610 STAUB)",H24,S,To enable arriving traffic in the opposite direction on a unidirectional airway,,EDMMACC,ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2054,,,,XIGRI,"NOT AVBL FOR TFC
VIA
 XIGRI AND -THEN VIA EDUUOSE1O 
EXC DEP EPPO",H24,C,"To avoid increased complexity and  sector snappers
Traffic may route via SUBIX or via ALUKA
Restriction is not valid for Dep EPPO",,EDUUUAC,ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2062,Z843,MEVEL,RELBI,,"NOT AVBL FOR TFC
DEP ETNG & FLT-TYPE (M)",H24,S,"to force traffic onto correct routing via 
ZELTI DCT VEBAK DCT ERKUM DCT SONEB P64 TENLI",,EDGGACC,ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2064,Z36,POGAB,OBANI,,"NOT AVBL FOR TFC
DEP PRAGUE_GROUP
 & ABV FL315 AT (POGAB Z36 OBANI)","H24
AIRAC APR..  - FIRST AIRAC OCT
H24",S,"To avoid slowclimbing traffic or late climber via vertical boundary EDMMACC and EDUUUAC at this segment. 
Higher level thereafter or alternative route option via FRA DCTs from POGAB (when above FL315 at POGAB)
See also ED3707.",,"(EDUUUAC,
, EDMMACC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2071,,,,ALOSO,"NOT AVBL FOR TFC
VIA (MAG Z207 ALOSO) AND -THEN
 VIA (KOMIB, IBAGA, AMOSA)",H24,S,To avoid not wanted flow crossings. South West bound traffic may route via ORTAG DCT BAMKI. Traffic via Z207 should route Southbound.,,"(EDMMACC,
, EDUUUAC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2072,,,,"(EDUUDON1D, EDUUISA1I, EDUUERL1R)","NOT AVBL FOR TFC
1. DEP EDVK 
EXC VIA
1.  EXC
    a. VIA (ELNAT Z99 MASEK DCT OSBIT DCT DINKU) & ABV FL315 AT DINKU
2. 
    b. VIA (ELNAT Z99 MASEK L604 SULUS L984 KULOK) & ABV FL315 AT KULOK 
3.  
    c. VIA (ELNAT Z99 MASEK L604 SULUS Z650 NOGRA) & ABV FL315 AT NOGRA",H24,S,"Connecting Routes to / from KUAC
Listed route option ensure correct entry in listed sectors (above FL315) according LoA agreement.
Other route options -if not entering the listed sectors- are also available e.g. via ELNAT Z190 NIKUS (or same options below FL315/below sectors)
Option 1: MASEK DCT OSBIT RAD ANNEX 3B (FL205-660) and OSBIT DCT DINKU EDUUFRAW (FL245-660) refers.",,"(EDUUUAC,
, EDMMACC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2074,L984,BOMBI,KOMIB,,"NOT AVBL FOR TFC
ABV FL245
 AT (BOMBI L984 KOMIB) & ARR NURNBERG_AREA
----------
NOT AVBL FOR TFC
BLW FL245
 AT (BOMBI L984 KOMIB) & ARR EDDN","H24
----------
H24",S,To force arriving traffic via transition route BOMBI Z723,,"(EDUUUAC, EDMMACC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2076,L984,SULUS,OKG,,"NOT AVBL FOR TFC
1. ARR (PRAGUE_GROUP, LKPD, LKCV, LKCS, LOWL, LOWS)
2. ARR (LKHK, LKMH) & VIA ED & ABV FL235 IN ED
3. ARR EDMMFIR & ABV FL245
 AT (LONLI, ABERU, KULOK) EXC ARR (EDAB, EDDC)
4. DEP EDDF
 & ABV FL315 AT OKG
 & TYP (A342, A343, A388)",H24,C,"1.  To force traffic via 
SULUS-Z650-(TONSU-Z35)/(TIPAM-T703); ARR LO* in particular via TIPAM.
2. To force listed ARR via TONSU Z35 ODOMO if via Germany above FL235
3. To force traffic to other transition routes
4. to keep traffic below EDUUERL sector,
traffic shall file higher FL after OKG",,"(EDUUUAC,
, EDMMACC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2077,,,,"(EDWWCTAB, EDWWCTAO)","NOT AVBL FOR TFC
1. ARR (EDDC)
 EXC VIA
1. 
    a. VIA (LUROS M725 KOBUS
2. )
    b. VIA (GOVEN P31 KOBUS
3. )
    c. VIA (PITEN Z998 OSKAN
4)
    d. DEP EDAZ via  & VIA (BOLBO M748 OSKAN)",H24,S,"Connecting Route EDWW East ACC 
To force traffic via dedicated routes/points.",,EDWWACC,ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2081,,,,EDUUUTA,"NOT AVBL FOR TFC
VIA
1. 1. VIA NIK AND -THEN VIA LQSBCTA AND -THEN VIA EDUUUTA
   EXC DEP (LYPG, LYTV)
2. VIA EDUUUTA AND -THEN VIA LQSBCTA AND -THEN VIA NIK",H24,S,"To avoid  Free Route DCTs via NIK within LYBA towards or from EDUUUTA, as they cause severe ATM system trouble due to wrong trajectory calculation via NIK located in Belgium airspace. Listed departing traffic (via NIK L604 GAC) is not affected. 
Until this wrong calculation within iCAS system used by DFS is corrected, flight plan trajectories shall use different Free Route points.",,,ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2083,M150,PITES,LADAT,,"NOT AVBL FOR TFC
1. ABV FL245
1 AT (PITES M150 LADAT)
    a. ARR LFST 
2
    b. ARR (ED** EXC ARR (EDDS, EDJA, EDNY, EDSB, EDTL)
3)
    c. DEP  (ETAR, ETOU)",H24,S,"To force arriving traffic onto other transition routes and allow only in 2. listed German ARR.
",,"(
EDUUUAC,
, EDGGACC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2084,,,,EDUUUTAS,"NOT AVBL FOR TFC
ARR ETHN",H24,S,"To force arriving traffic onto correct routing below FL315.
See also route options from South East as listed for EDMMEGG and EDMMTRU (ED2087, ED2088).",,"(EDUUUAC,
, EDMMACC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2086,L850,DEXIT,LALIN,,"NOT AVBL FOR TFC
ARR LK**",H24,C,to avoid unexpected turns and force traffic onto correct routings,,"(EDMMACC,
, EDUUUAC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2087,,,,EDMMEGG,"NOT AVBL FOR TFC
ARR ETHN
 EXC VIA (SUBEN T161 REDNI DCT DKB)",H24,S,"To force arriving traffic onto correct routing. 
Traffic shall file REDNI FL120 or below to enable REDNI DCT DKB",,EDMMACC,ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2088,,,,EDMMTRU,"NOT AVBL FOR TFC
1. ARR ETHN
 EXC
1
    a. VIA (TITIG L173 RIXED Y161 ELVAG Z818 DKB
2)
    b. VIA (KIRDI DCT EBEDA L173 RIXED Y161 ELVAG Z818 DKB
3)
    c. VIA (TITIG Z79 RIDAR L173 RIXED Y161 ELVAG Z818 DKB)",H24,S,"To force arriving traffic onto correct routings.
2. Only available for traffic above FL195
3. Only available for traffic between FL095 and FL195",,EDMMACC,ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2089,T151,ABGUS,ALOSI,,"NOT AVBL FOR TFC
DEP EDDB WITH  & ARR EDDF",H24,C,"to force traffic onto correct routing and balance capacity between EDWW ACC, EDGG ACC and EDMM ACC",eNM19,"(EDWWACC, EDGGACC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2091,M725,HDO,KOBUS,,"NOT AVBL FOR TFC
1. VIA (BEBKU, GOVEN, KORUP)
2. VIA GARKI
 EXC ARR EDDC
3. ARR (EDDB, EDDP)",H24,S,"1. 2.To force traffic via HDO M748-Q230 or via OKX (shorter route)
3. To force ARR EDDB onto correct routing via BEFRE T204 NUKRO",,"(EDMMACC,
, EDUUUAC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2092,M725,OBANI,KOBUS,,"NOT AVBL FOR TFC
1. VIA (KOBUS Z220 (BEBKU, KORUP))
2. VIA (KOBUS P31 (GARKI, GOVEN)
)) EXC ARR EDDC
3. ARR (EDAC, EDDP)",H24,S,To force traffic via OBANI Z36 (shorter route),,"(EDMMACC,
, EDWWACC,
EDUUUAC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2095,Z658,BIGSU,OHMAR,,"NOT AVBL FOR TFC
DEP EDDK
 EXC VIA  (BIGSU Z658 OHMAR Z52 MASEK WITH ) & RFL BLW FL115 AT (OHMAR Z52 MASEK)",H24,C,To prevent unusual flightplanning,,EDGGACC,ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2097,M726,MAH,ERNAS,,"NOT AVBL FOR TFC
1. ARR EDDB
2. VIA (RIDAR Y161 MAH)
3. ARR EDDN",H24,S,"To avoid short term overload of ERL sector when used as offload route to LKAA
1. This traffic shall file L132 ABKIS
3. This traffic shall file L132 LASMI Y103 UNKUL L610 UPALA",,"(EDMMACC,
, EDUUUAC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2098,Y710,SUDEN,ETAGO,,"ONLY AVBL FOR TFC
1. DEP (EDJA, ETHL)
2. ABV FL255
VIAVIA (ETAGO DCT HAREM) & ABV FL255 AT (ETAGO DCT HAREM)",H24,S,To avoid traffic departing below FL250,,"(EDMMACC, EDGGACC, EDUUUAC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2246,,,,RUDAP,"NOT AVBL FOR TFC
1. ABV FL315 AT RUDAP
&  & VIA LK AND-THEN VIA EDUUDON1D
EXC VIA
    a. ( EXC
    a. VIA (RUDAP DCT EBEDA DCT BADVI DCT BERAS) 
    b. (. VIA (RUDAP DCT BAMTA DCT RADIZ)
    c. (. VIA (RUDAP DCT DOSEL DCT KUMOM)
    d. (. VIA (RUDAP DCT SIMBA)
    e. (. VIA (RUDAP P31 DOSEL) & DEP LK**
    f. (. VIA (RUDAP DCT DOSEL M736 TULSI)
    g. (. VIA (RUDAP DCT MAMOR DCT UMTEX)
    h. VIA RUDAP AND-THEN VIA (ASPAT, GAMSA, INBED, RAVED, UMTEX)
----------
NOT AVBL FOR TFC
VIA (BAMTA DCT RADIZ) AND-THEN
 ARR (LOWG, LOWK, LOXZ, LJLJ, LIPQ, LDZA, LDRI, LJMB, LDPL, LDLO)","1. a. H24
1. b. H24
1. c. H24
1. d. H24
1. e. H24
1. f. H24
1. g. 22:30-04:00 (21:30-03:00)
1. h. 22:30-04:00 (21:30-03:00) 
----------
H24",S,"Free Route Flow restriction to ensure certain DCT sequence allowing FL changes and separation with opposite flows and distance to LO boundary.
Listed DCTs are all available within EDUUFRAE H24 with MIN FL315 except in 1.g. (RAD ANNEX 3B MIN FL245 night) and h. FRA options limited to night.
1.a. main option crossing NE (RUDAP) to SW  (after BERAS via ATS or via DCT e.g. to LIZUM/LIKDA)
   Note: FL allocation EBEDA-BERAS even/odd (for Fl changes to odd and transfer at odd level to Padua ACC)
e. ED2425 applies (only for certain DEP)
f. ED2108 applies (only for certain ARR)
g. night option see RAD ANNEX 3B (MIN FL245)
h. options in EDUUFRAE above FL315 limited to night
----
Listed DCT is limited to MIN FL345 (in option 2 above) due to airspace structure (balcony)  and forbidden ARR are LoA agreed at FL330 on transfer to LOVVACC, thus are not eligable for this DCT.
",,"(EDUUUAC, EDMMACC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2696,Q760,NVO,SARRI,,"NOTONLY AVBL FOR TFC
EXC
1. ARR EDDS & 
FLT-TYPE (M)
2. DEP EDDK VIA 
   a. 
    a. VIA (SARRI Q760 ELVET 
     ) & ABV FL245 
     BTN 22:00-04:00 (23:00-03:00 AT (SARRI Q760 ELVET)
    b. VIA (NVO Q760 SARRI Z818 MAKOT G21 GTQ
    BLW FL195
    AND THEN ARR (LFSB, LSGG) 
    BTN 01:00-05:00 (00:00-04:00) & ARR (LFSB, LSGG) & BLW FL195 AT (NVO Q760 SARRI Z818 MAKOT G21 GTQ)
    c. VIA (NVO Q760 RASVO T180 UNOKO) EXC ACFT-EQPT-COMNAVPBN (D1, D2, D3, D4, O1, O2, O3, O4)
3. DEP (ED**, ET**) & RFL BLW FL105 IN ED
4. DEP EDFH
5. DEP ELLX & VIA (EXCOS Q763 MAPIG Q760 TOMPI Z729 IXWIB)","1. H24
2. a. 22:00-04:00 (23:00-03:00)
2. b. 01:00-05:00 (00:00-04:00)
2. c. H24
3. H24
4. H24",S,"To enable specific traffic to join the route network

Q-routes are transition routes, usable in both directions , allowing traffic to/from defined aerodromes and segregating Arrivals/Departures from transit traffic.

Option 2c: to offer non RNAV1 equipped flights on CP EDDK-EDDF connectivity.",,"(EDGGACC,
, EDUUUAC)",ED,05 JUN 2025,
AMD,2506 [12 JUN 2025],UFN,ED2955,L173,MAH,RIDAR,,"NOT AVBL FOR TFC
1. ARR (EDDF, EDFE)
a. VIA (ED, LI, LO) & ABV FL255
2. BLW FL195 EXC DEP EDMO IN (ED, LI, LO)
2. BLW FL195 AT (MAH L173 RIDAR) EXC DEP EDMO
3. ARR EDSB & DEP (LATI, LDZA, LDZD, LQBK)","H241. H24
2. H24
3. 08:00-11:00 (07:00-10:00)",S,"Option 1: To prevent unintended routings for ARR EDDF/FE, use alternative options e.g. via ERNAS.
Option 2: Below FL195 only for DEP EDMO.
Option 3: This traffic can use alternate option via KPT L856 RAVED",,"(EDMMACC, EDUUUAC)",ED,04 JUN 2025,
AMD,23 JUN 2025 [2506],25 JUN 2025 [2506],ED3083,,,,"(EDUUFUL1U, EDUUERL1R)","NOT AVBL FOR TFC
1. ARR EHAM
a. VIA (SECSI AND-THEN EDUUDON1D) AND-THEN VIA EDUUERL1R 
    i) EXC VIA (LASGA DCT KATCE)
b. VIA RAPET
c. DEP (EDDM, EDDN) EXC VIA (LASGA DCT KATCE)","23 JUN 2025 13:00-22:00 & 
24 JUN 2025 - 25 JUN 2025
06:00-22:00",C,"To avoid onload of the arrival flow via MAPOX due to NATO summit.  
Option 1. b.: This traffic shall file VARIK DCT KATCE DCT NORKU / VARIK L602 SODRO DCT KATCE DCT NORKU",,EDUUUAC,ED,27 MAY 2025,NATO_summit_2025
AMD,23 JUN 2025 [2506],25 JUN 2025 [2506],ED3083,,,,"(EDUUFUL1U, EDUUERL1R)","NOT AVBL FOR TFC
1. ARR EHAM
a. VIA (SECSI AND-THEN EDUUDON1D) AND-THEN VIA EDUUERL1R 
    i) EXC VIA (LASGA DCT KATCE)
b. VIA RAPET
c. DEP (EDDM, EDDN) EXC VIA (LASGA DCT KATCE)","23 JUN 2025 13:00-22:00 & 
24 JUN 2025 - 25 JUN 2025
06:00-22:00",C,"To avoid onload of the arrival flow via MAPOX due to NATO summit.  
Option 1. b.: This traffic shall file VARIK DCT KATCE DCT NORKU / VARIK L602 SODRO DCT KATCE DCT NORKU",,EDUUUAC,ED,28 MAY 2025,NATO_summit_2025
DEL,26 JUN 2025 [2506],UFN,ED3083,,,,"(EDUUFUL1U, EDUUERL1R)","NOT AVBL FOR TFC
1. ARR EHAM_x000D_
a. VIA (SECSI AND-THEN EDUUDON1D) AND-THEN VIA EDUUERL1R _x000D_
    i) EXC VIA (LASGA DCT KATCE)_x000D_
b. VIA RAPET_x000D_
c. DEP (EDDM, EDDN) EXC VIA (LASGA DCT KATCE)","23 JUN 2025 13:00-22:00 & _x000D_
24 JUN 2025 - 25 JUN 2025_x000D_
06:00-22:00",C,"To avoid onload of the arrival flow via MAPOX due to NATO summit.  
Option 1. b.: This traffic shall file VARIK DCT KATCE DCT NORKU / VARIK L602 SODRO DCT KATCE DCT NORKU",,EDUUUAC,ED,27 MAY 2025,NATO_summit_2025
DEL,26 JUN 2025 [2506],UFN,ED3083,,,,"(EDUUFUL1U, EDUUERL1R)","NOT AVBL FOR TFC
1. ARR EHAM_x000D_
a. VIA (SECSI AND-THEN EDUUDON1D) AND-THEN VIA EDUUERL1R _x000D_
    i) EXC VIA (LASGA DCT KATCE)_x000D_
b. VIA RAPET_x000D_
c. DEP EDDM EXC VIA (LASGA DCT KATCE)","23 JUN 2025 13:00-22:00 & _x000D_
24 JUN 2025 - 25 JUN 2025_x000D_
06:00-22:00",C,"To avoid onload of the arrival flow via MAPOX due to NATO summit.  
Option 1. b.: This traffic shall file VARIK DCT KATCE DCT NORKU / VARIK L602 SODRO DCT KATCE DCT NORKU",,EDUUUAC,ED,28 MAY 2025,NATO_summit_2025
