ARR ID,ARR AD,"First PT STAR /
STAR ID",DCT ARR PT,ARR FPL Option,"ARR Time
Applicability","ARR Operational
Goal",ARR Remarks,NAS / FAB,"Release
Date","Special Event and 
Crisis"
,,,,,,,,LS,19 SEP 2023,
EG5833,EGNS,,IOM,"COMPULSORY FOR TFC
ARR EGNS & VIA BOYNE",H24,To enforce correct arrival procedures.,,EG,31 MAY 2025,
EB5500,EBKT,,"(FERDI,LEQ,LL,MAK,MRV)",,H24,To allow connection from EBKT via specific waypoints.,,EB,29 AUG 2024,
EB5506,"(EBAW, EBBR, EBMB)",,ELSIK,"ONLY AVBL FOR TFC
DEP EHEH",H24,To allow shorter connection between EHEH and EBBR/AW/MB ,,EB,29 AUG 2024,
EB5508,EBCI,CIV,,"NOT AVBL FOR TFC
ENG-TYPE (J) EXC DEP LILLE_GROUP",H24,STAR requirement    ,,EB,29 AUG 2024,
EB5513,"(EBBR, EBMB)","(ARVOL, BATTY, BEKEM, KOK, LNO, TULNI, WOODY)",,"COMPULSORY FOR TFC
1. RFL ABV FL065 IN EB
EXC
    a. VIA ELSIK
    b. VIA (LIPNI DCT FLO)
    c. DEP EBAW",H24,"Traffic shall use SIDs and STARs where available, with some exceptions",,"EB, NM",12 MAY 2025,
EB5514,EBCI,"(ARVOL, BATTY, CIV, KOK, LNO, NIK)",,"COMPULSORY FOR TFC
RFL ABV FL065 IN EB",H24,Traffic shall use SIDs and STARs where available.,,EB,29 AUG 2024,
EB5518,EBLG,"(LNO, GESLO, CIV, KOK, NIK)",,"COMPULSORY FOR TFC
RFL ABV FL065 IN EB",H24,Traffic shall use SIDs and STARs where available.,,EB,29 AUG 2024,
EB5519,EBOS,"(COA, DENUT, FERDI, KOK)",,"COMPULSORY FOR TFC
RFL ABV FL065 IN EB",H24,Traffic shall use SIDs and STARs where available.,,EB,29 AUG 2024,
EB5520,EBAW,"(BATTY, LNO, ARVOL, TULNI, KOK, WOODY)",,"COMPULSORY FOR TFC
RFL ABV FL065 IN EB
EXC DEP EBBR",H24,Traffic shall use SIDs and STARs where available.,,EB,12 MAY 2025,
EBEL5501,ELLX,"(AKELU, BETEX, BITBU, BREDI, DIK, EFFAP, EXCOS, GIVOR, GTQ, IRTON, LNO, MMD, REMBA, RITAX, VAVOT)_",,"COMPULSORY FOR TFC
RFL ABV FL055",H24,Traffic shall use STARs where available.,Transitions shall not be filed in FPL,"EB, EL, NM",20 JAN 2025,
ED5500,EDTM,,RAVED,"COMPULSORY FOR TFC
1. VIA LSAZALL EXC
    a. VIA (LEBSO T728 ARSUT)
    b. DEP BASEL_GROUP & VIA (ELBEG Y715 ARSUT)
    c. DEP EDTD & VIA (NEDOV Y715 ARSUT)",H24,To force traffic inbound EDTM on published RNP APCH procedures,,ED,16 MAY 2025,
ED5501,EDTM,,ARSUT,"COMPULSORY FOR TFC
VIA (EDGGREU, EDGGBAD) EXC VIA LSAZCTA AND-THEN VIA RAVED",H24,To force traffic inbound EDTM on published RNP APCH procedures,,ED,28 MAR 2025,
ED5502,EDDH,,HAM,"ONLY AVBL FOR TFC
1. DEP EDHL
2. EXC ACFT-PBN (D1, D2, D3, D4, O1, O2, O3, O4)",H24,"1. to force traffic via the correct arrival points/Routing
2. All other traffic shall file RNAV-1 STARs.",,ED,28 MAR 2025,
ED5503,EDAZ,,MOSEX,,H24,to force traffic via the correct arrival points/routing,,ED,28 MAR 2025,
ED5506,EDDF,"(EMPAX5B, EMPAX5C)",,"ONLY AVBL AND COMPULSORY FOR TFC
ACFT-PBN (D1, D2, D3, D4, O1, O2, O3, O4) & VIA LADOL",H24,To force RNAV-1 equipped flights to use correct RNAV STARs. ,,ED,28 MAR 2025,
ED5507,EDDG,,"(HMM, OSN)",,H24,to offer shorter connection,,ED,28 MAR 2025,
ED5508,EDDS,BADSO,,"COMPULSORY FOR TFC
VIA KRH",H24,To avoid unintented DCT filing and force traffic onto correct STAR,,ED,23 JUL 2023,
ED5509,EDDS,REUTL,,"COMPULSORY FOR TFC
VIA (SUL, ARSUT)",H24,To avoid unintented DCT filing and force traffic onto correct STAR,,ED,23 JUL 2023,
ED5512,EDDK,,OBOKA,"ONLY AVBL FOR TFC
DEP EDDF",H24,To enable shortest route for CP EDDF-EDDK,,ED,,
ED5514,ETNL,,LAG,"COMPULSORY FOR TFC
ARR ETNL",H24,to enable shorter flight planning options,,ED,,
ED5517,EDLW,ADEMI,,"COMPULSORY FOR TFC
1. VIA (BADGO Z850 ADEMI)
2. VIA (RUNER T842 KULIX)
3. VIA (AFNAF M170 ADEMI)",H24,To force traffic onto correct STAR,,ED,28 MAR 2025,
ED5520,EDDE,ROBEL,,"ONLY AVBL AND COMPULSORY FOR TFC
ACFT-PBN (D1, D2, D3, D4, O1, O2, O3, O4) & VIA (ERSET, MADET)",H24,to force traffic via the correct arrival points/routing,,ED,28 MAR 2025,
ED5523,EDDE,NARUS,,"ONLY AVBL AND COMPULSORY FOR TFC
ACFT-PBN (D1, D2, D3, D4, O1, O2, O3, O4) & VIA (TABAT, LASGA, VAGAB)",H24,to force traffic via the correct arrival points/routing,,ED,28 MAR 2025,
ED5524,EDDE,RELKO,,"ONLY AVBL AND COMPULSORY FOR TFC
ACFT-PBN (D1, D2, D3, D4, O1, O2, O3, O4) & VIA (SUVUT, LASTO, TADUV)",H24,to force traffic via the correct arrival points/routing,,ED,28 MAR 2025,
ED5525,ETNG,,GIX,"COMPULSORY FOR TFC
VIA (SOBTU DCT GIX)",H24,To ensure automated data exchange between Langen ACC and Beek App.,,ED,28 MAR 2025,
ED5532,EDDS,,LBU,"ONLY AVBL FOR TFC
1. VIA (GUPIN L173 LBU)
2. VIA (NOSBU T726 LBU)
3. VIA (HAFUN Q163 LBU)
4. VIA (KOVAN Y712 LBU)
5. VIA (ABGAN Z729 LBU)",H24,To allow flightplanning for ARR EDDS from north via LBU after the DCT limit has been set to 0NM to avoid creative FPLs,,ED,28 MAR 2025,
ED5536,EDDV,,"(CEL, NIE)",,H24,to force traffic via the correct arrival points/routing,,ED,28 MAR 2025,
ED5537,EDHK,,"(RENSU, OTAHO)",,H24,to force traffic via the correct arrival points/routing,,ED,08 AUG 2024,
ED5538,ETNS,,SWG,,H24,To force traffic onto correct arrival routing,,ED,28 MAR 2025,
ED5539,EDXW,,OLDIP,,H24,to force traffic via the correct arrival points/routing,,ED,28 MAR 2025,
ED5540,EDSB,,OBORN,,H24,To allow connection for arrival from the west via Strasbourg TMA,,ED,28 MAR 2025,
ED5541,EDVE,,HLZ,,H24, to force arriving traffic on one of the listed options to avoid wrong filing and additional ATCO workload,,ED,28 MAR 2025,
ED5542,EDDP,YAWOY,,"ONLY AVBL FOR TFC
ACFT-PBN (D1, D2, D3, D4, O1, O2, O3, O4) & VIA IVQOQ",H24,to force traffic via the correct arrival points/routing,,ED,28 MAR 2025,
ED5543,EDDP,GOXLI,,"ONLY AVBL FOR TFC
ACFT-PBN (D1, D2, D3, D4, O1, O2, O3, O4) & VIA (LASTO,TAMEB, VOCIM, TABAT)",H24,"to force traffic via the correct arrival points/routing
",,ED,28 MAR 2025,
ED5544,EDDP,KOJEC,,"ONLY AVBL FOR TFC
ACFT-PBN (D1, D2, D3, D4, O1, O2, O3, O4) & VIA (KENIG, ESEGU, BERDI)",H24,"to force traffic via the correct arrival points/routing
",,ED,28 MAR 2025,
ED5545,EDDP,LUXBO,,"ONLY AVBL FOR TFC
ACFT-PBN (D1, D2, D3, D4, O1, O2, O3, O4) & VIA UWBAZ",H24,"to force traffic via the correct arrival points/routing
",,ED,28 MAR 2025,
ED5547,EDHI,,HAM,"NOT AVBL FOR TFC
ACFT-PBN (D1, D2, D3, D4, O1, O2, O3, O4)",H24,to force traffic via the correct arrival points/routing.,,ED,28 MAR 2025,
ED5548,EDHI,,"(BOGMU, RARUP, NOLGO, RIBSO)","ONLY AVBL FOR TFC
ACFT-PBN (D1, D2, D3, D4, O1, O2, O3, O4)",H24,to force traffic via the correct arrival points/routing.,,ED,23 JUL 2023,
ED5549,EDDB,,"(KETAP, OGBER, KLF, ATGUP, NUKRO)",,H24,to force traffic via the correct arrival points/routing,,ED,23 JUL 2023,
ED5551,EDDF,"(KERAX5A, KERAX5D)",,"ONLY AVBL AND COMPULSORY FOR TFC
VIA KERAX & ACFT-PBN (D1, D2, D3, D4, O1, O2, O3, O4)",H24,"To force RNAV-1 equipped flights to use correct RNAV STARs. Heavies (ACFT type (A38*/MD11/B74*/C-5 Galaxy/AN124/AN225/E3A/KC35)), CARGO, GAT, shall expect landing on RWY25L/07R.
Switchover to southerly runway may be expected on turn to final. 
Assignment of KERAX 3B/3C STAR by ATC is possible.
In case of RCF landing on RWY25L/07R shall be performed.",,ED,28 MAR 2025,
ED5553,EDDS,,STG,"ONLY AVBL FOR TFC
VIA (KPT P66 DITBA)",H24,To allow ARR EDDS to file via KPT P66 DITBA DCT STG. (for the DCT see RAD ANNEX 3B),,ED,28 MAR 2025,
ED5561,EDDF,"(ROLIS5A, ROLIS5D)",,"ONLY AVBL FOR TFC
VIA ROLIS & ACFT-PBN (D1, D2, D3, D4, O1, O2, O3, O4) 
----------
COMPULSORY FOR TFC
VIA ROLIS & ACFT-PBN (D1, D2, D3, D4, O1, O2, O3, O4) EXC VIA LIPMI","H24
----------
H24","To force RNAV-1 equipped flights to use correct RNAV STARs. Heavies (ACFT type (A38*/MD11/B74*/C-5 Galaxy/AN124/AN225/E3A/KC35)), CARGO, GAT, shall expect landing on RWY25L/07R.
Switchover to southerly runway may be expected on turn to final. 
Assignment of ROLIS 5B/5C STAR by ATC is possible.
In case of RCF landing on RWY25L/07R shall be performed.",,ED,28 MAR 2025,
ED5562,EDAY,,RENKI,,H24,to force traffic via the correct arrival points/routing,,ED,19 AUG 2021,
ED5610,EDTY,LBU,,"COMPULSORY FOR TFC
VIA LBU",H24,ARR EDTY via LBU shall file LBU STAR. Other options are not allowed,,ED,03 MAY 2023,
ED5614,EDTL,KRH,,"ONLY AVBL FOR TFC
VIA KRH",H24,all ARR may use KRH STAR,,ED,28 SEP 2023,
ED5615,EDDP,GOT,,"NOT AVBL FOR TFC
ACFT-PBN (D1, D2, D3, D4, O1, O2, O3, O4)",H24,"to force traffic via the correct arrival points/routing
",,ED,21 AUG 2023,
ED5616,EDDF,"(DEBHI1B, DEBHI1C)",,"ONLY AVBL AND COMPULSORY FOR TFC
VIA DEBHI & ACFT-PBN (D1, D2, D3, D4, O1, O2, O3, O4)",H24,To force RNAV-1 equipped flights to use correct RNAV STARs. ,,ED,28 MAR 2025,
ED5618,EDTL,,MOPAN,"ONLY AVBL FOR TFC
VIA LSAZCTA",H24,To offer traffic from the South and South-East shortcut option in accordance with LoA EDGG ACC - LFST APCH. These flights are exempted from using STAR inbound EDTL.,,ED,28 MAR 2025,
ED5619,EDDC,,"(HDO, DEKOV)","ONLY AVBL FOR TFC
1. ARR EDDC & VIA (LKAATMT, LKAATNL, LKAAENALL)
2. DEP PRAGUE_GROUP",H24,"Option 1.: to offer ARR EDDC via  (LKAATMT, LKAATNL, LKAAENALL) sectors the possibility to file  HDO DCT EDDC  and avoid strange detours circumnavigating the airfield.
Option 2.: to offer DEP PRAGUE_GROUP the option to file below FL095 via DEKOV to EDDC",,ED,13 JAN 2025,
ED5620,EDAH,,UDAXI,"COMPULSORY FOR TFC
ARR EDAH",H24,"To offer ARR EDAH connectivity to the network. Even so no STAR is available, the general DCT limit will remain 0NM to force traffic via RNP Approaches starting at UDAXI",,ED,09 FEB 2024,
ED5625,EDJA,,ALOXO,"ONLY AVBL FOR TFC
1. VIA (NUNRI Z6 ALOXO)
2. DEP (EDNY, LSZR) & BLW FL095 AT ALOXO",H24,"To enable flight planning via ALOXO for designated traffic (ALOXO STAR by ATC only).
Reference TFR RAD Annex 2B ED2973",,ED,28 MAR 2025,
ED5632,EDLP,,PAD,"ONLY AVBL FOR TFC
ARR EDLP & VIA (ROBEG Q208 PAD)",H24,To offer connection from Q208,,ED,15 FEB 2025,
ED5639,EDDN,LETKU,,"ONLY AVBL FOR TFC
ACFT-PBN (D1, D2, D3, D4, O1, O2, O3, O4)",H24,To force traffic via the correct arrival points/routing,,ED,24 APR 2025,
ED5640,EDDN,DODAS,,"ONLY AVBL FOR TFC
ACFT-PBN (D1, D2, D3, D4, O1, O2, O3, O4)",H24,To force traffic via the correct arrival points/routing,,ED,24 APR 2025,
ED5641,EDDN,PIVIR,,"ONLY AVBL FOR TFC
ACFT-PBN (D1, D2, D3, D4, O1, O2, O3, O4)",H24,To force traffic via the correct arrival points/routing,,ED,24 APR 2025,
ED5642,EDDN,UPALA,,"ONLY AVBL FOR TFC
ACFT-PBN (D1, D2, D3, D4, O1, O2, O3, O4)",H24,To force traffic via the correct arrival points/routing,,ED,24 APR 2025,
ED5643,EDDN,,NUB,"NOT AVBL FOR TFC
ACFT-PBN (D1, D2, D3, D4, O1, O2, O3, O4)",H24,To offer non-RNAV flights connectivity to EDDN,,ED,02 JUN 2025,
EDLS5500,EDNY        ,,ARFAS,,H24,to offer traffic arriving connectivity inbound EDNY without filing a STAR,,"ED, LS",24 JUN 2024,
EE5501,EEEI,,VEGER,"ONLY AVBL FOR TFC
1. VIA (DOBAN, DOPIK, GONOS, KEMET, KOIVU, OSMUR, SULUN, VALOX)
2. DEP EETN",H24,To organize EEEI IFR ARR FPL,,EE,21 AUG 2024,
EE5505,EETU,,GATVA,ONLY AVBL FOR TFC,H24,To allow connectivity,,EE,21 AUG 2024,
EE5506,EFHK,INTOR,,"NOT AVBL FOR TFC
1. VIA EETTFIR & ABV FL095 IN EETFIR EXC 
    a. VIA (OSMUR Q55 SORPA Q33 INTOR)
    b. VIA (LONSA Q33 INTOR)
    c. VIA (SULUN Q22 KEXLE Q11 INTOR)
    d. VIA (KEMET Q11 INTOR)
    e. VIA (GONOS Q77 IBUZU Q92 INTOR)
    f. VIA (BIRSI Q141 INTOR)
    g. DEP (EEEI, EETN)
    h. VIA (GONOS Q77 KEXLE Q11 INTOR)
    i. VIA (GEPTA Q141 INTOR)",H24,1. To direct EFHK ARR to EFHK ARR FRA transiton  routes.,,EE,10 FEB 2025,
EE5512,EETN,,"(ILK, KEXLE)","ONLY AVBL FOR TFC
DEP EETN",H24,To allow EETN local IFR flight planning.,,EE,21 AUG 2024,
EE5513,EETN,,"(FUCPO, LEFSE, MUHMU, WALHE)","ONLY AVBL FOR TFC
TYP (HEL)",H24,Only available for helicopters,,EE,21 AUG 2024,
EF5500,EFET,,"(DOPUD, EXUTI)",,H24,airport connectivity,,EF,23 AUG 2024,
EF5501,EFHA,,"(ARBEV, ATSEN, ERTOP, USUPO)",,H24,airport connectivity,,EF,23 AUG 2024,
EF5502,EFIV,,"(LUSAG, NEKUX, SOTIT)",,H24,airport connectivity,,EF,23 AUG 2024,
EF5503,EFJO,,"(ETENA, RISEV, UVOVO)",,H24,airport connectivity,,EF,23 AUG 2024,
EF5505,EFHK,ROPAM,ROPAM,"ONLY AVBL FOR TFC
VIA LEDUN",H24,airport connectivity,,EF,23 AUG 2024,
EF5513,EFMA,,"(DODAM, EBEBU, RIKUM, SOTUP)",,H24,airport connectivity,,EF,23 AUG 2024,
EF5514,EFHK,DIVAM,,"NOT AVBL FOR TFC
ABV FL095 AT DIVAM EXC VIA (ALAMI DCT OKEVU DCT EVADI Y370 DIVAM)",H24,To facilitate correct ARR traffic flow,,EF,11 DEC 2024,
EF5515,EFHK,LAKUT,,"NOT AVBL FOR TFC
1. ABV FL095 AT LAKUT EXC
    a. VIA (RIRIP Y364 LAKUT)
    b. VIA (IBVUT Y363 LAKUT)
    c. VIA (UXADA Y349 AMROT Y362 LAKUT)
    d. VIA (ENETI Y362 LAKUT)
    e. VIA (OTKIL Y368 LAKUT)
    f. DEP EFTU & VIA (IPMOT Y368 LAKUT)",H24,To facilitate correct ARR traffic flow,,EF,23 AUG 2024,
EF5516,EFHK,LUSEP,,"NOT AVBL FOR TFC
1. ABV FL095 AT LUSEP EXC
    a. VIA (IBOSU Y86 LUSEP)
    b. VIA (NAPRU T83 LUSEP)",H24,To facilitate correct ARR traffic flow,,EF,23 AUG 2024,
EF5517,EFHK,VEPIN,,"NOT AVBL FOR TFC
1. ABV FL095 AT VEPIN EXC
    a. VIA (ROKVI Y358 VEPIN)
    b. VIA (ARLOM Y359 VEPIN)
    c. DEP EFUT & VIA VEPIN",H24,To facilitate correct ARR traffic flow,,EF,23 AUG 2024,
EF5520,EFPO,,"(IDNIS, OSDIL, ROGTU, XORMU, NIFOT, KEFFA)",,H24,airport connectivity,,EF,23 AUG 2024,
EF5521,EFHK,,"(DIVAM, INTOR, LAKUT, LUSEP, VEPIN)","ONLY AVBL FOR TFC
RFL BLW FL095 AT (DIVAM, INTOR, LAKUT, LUSEP, VEPIN)",H24,airport connectivity,,EF,23 AUG 2024,
EF5522,EFRO,,"(NEMGU, NEPIX, OSLIT, RENVI, ROTKO, ARFUT, MARXO)",,H24,airport connectivity,,EF,23 AUG 2024,
EF5523,EFSA,,"(ABMAX, ASPEM, RIVUM)",,H24,airport connectivity,,EF,23 AUG 2024,
EF5524,EFSI,,"(AMASU, GISUX, VABUB)",,H24,airport connectivity,,EF,23 AUG 2024,
EF5525,EFTP,,"(ARBEV, EVLIT, GEMKU, NEBAB, NISVI, UVEMO, XORMU)",,H24,airport connectivity,,EF,23 AUG 2024,
EF5526,EFTU,,"(EMPOM, EXUPA, IPMOT, NIRPU, OTKIL, UPAPU, UVOPA)",,H24,airport connectivity,,EF,23 AUG 2024,
EF5527,EFUT,,"(ARLOM, NAXEP, OTKAP, VEHUF, IRJUB)",,H24,airport connectivity,,EF,15 APR 2025,
EF5528,EFVA,,"(AXUTI, BEGSU, BUPEG, GUBTU, RERBU, SUBUG, UVATI)",,H24,airport connectivity,,EF,23 AUG 2024,
EF5533,EFMI,,"(REBGO, UXEGA, VAVED)",,H24,airport connectivity,,EF,23 AUG 2024,
EF5541,EFJY,,"(EROKU, ELSOV, ERTOP, LUMME, RERGA)",,H24,airport connectivity,,EF,23 AUG 2024,
EF5542,EFLP,,"(ADSEB, ARLOM, ERKOM, SIGGE)",,H24,airport connectivity,,EF,23 AUG 2024,
EF5544,EFOU,,"(ABKEM, BURJA, IXONO, NUBVU, OTVEM, SUVIB,
 UGMOR, UPEDU, XEVAP)",,H24,airport connectivity,,EF,23 AUG 2024,
EF5549,EFKE,,"(BURJA, BEXUL, INLEK, NEPIX)",,H24,airport connectivity,,EF,23 AUG 2024,
EF5550,EFKI,,"(ETROD, EVRIG, UBIGA, ODRUB)",,H24,airport connectivity,,EF,23 AUG 2024,
EF5551,EFKK,,"(ATPEL, BAPTU, EMDUR, GIDKI, NESUK, VAXUN)",,H24,airport connectivity,,EF,23 AUG 2024,
EF5552,EFKS,,"(BEVNA, IBEVU, OBISO)",,H24,airport connectivity,,EF,23 AUG 2024,
EF5553,EFKT,,"(EVIMI, EXUTI, XETMU)",,H24,airport connectivity,,EF,23 AUG 2024,
EF5554,EFKU,,"(ATLUL, ETENA, NISPO, UGLUM)",,H24,airport connectivity,,EF,23 AUG 2024,
EF5563,EFHK,"(DIVAM, INTOR, LAKUT, LUSEP, MAROM, NAPUN, PEXEN, ROPAM,  VEPIN)",,"COMPULSORY FOR TFC
RFL ABV FL095 IN EF",H24,airport connectivity,,EF,23 AUG 2024,
EG5506,EGAA,,BELZU,"TBD
- General conditions apply",H24,To enable correct routeings.,,EG,09 NOV 2021,
EG5507,EGAB,,BELZU,"TBD
- General conditions apply",H24,To enable correct routeings.,,EG,09 NOV 2021,
EG5510,EGNH,,NELSA,"ONLY AVBL FOR TFC
DEP EGNM",H24,To enable/enforce correct connectivity to standard routeings and reflect operational procedures.,,EG,14 APR 2022,
EG5511,EGCN,,VEGUS,"TBD
- General conditions apply",H24,To reflect operational procedures and ensure correct FDP.,,EG,17 JUL 2022,
EG5516,EGNH,,"ASNIM,EKLAD","ONLY AVBL FOR TFC
DEP EGCC",H24,To enable/enforce correct connectivity to standard routeings and reflect operational procedures.,,EG,14 APR 2022,
EG5518,EGGW,,ZAGZO,"ONLY AVBL FOR TFC
DEP EGTC",H24,To enable/enforce correct connectivity to standard routeings and reflect operational procedures.,,EG,14 APR 2022,
EG5519,EGKK,,"TIMBA,WILLO","ONLY AVBL FOR TFC
below FL085 in EGTTFIR",H24,To enable/enforce correct connectivity to standard routeings and reflect operational procedures.,,EG,14 APR 2022,
EG5523,EGMC,,DET,"ONLY AVBL FOR TFC
DEP LONDON_GROUP, EGK*",H24,To enable/enforce correct connectivity to standard routeings and reflect operational procedures.,,EG,14 APR 2022,
EG5525,EGHI,,"BCN,DAWLY","TBD
- General conditions apply",H24,To reflect operational procedures and ensure correct FDP.,,EG,17 JUL 2022,
EG5527,EGLL,,"BIG,BNN,LAM,OCK","ONLY AVBL FOR TFC
1.With RFL below FL085 in EGTTFIR 
2. DEP EGSH/U*/X*",H24,To enable/enforce correct connectivity to standard routeings and reflect operational procedures.,,EG,14 APR 2022,
EG5528,EGKB,,RAVSA,"ONLY AVBL FOR TFC
1. via RINTI",H24,To ensure correct traffic orientation ,,EG,06 AUG 2021,
EG5529,EGLC,,RAVSA,"ONLY AVBL FOR TFC
1. via RINTI",H24,To ensure correct traffic orientation.,,EG,06 AUG 2021,
EG5530,EGCC,,WAL,"ONLY AVBL FOR TFC
DEP EGNL",H24,To enable/enforce correct connectivity to standard routeings and reflect operational procedures.,,EG,14 APR 2022,
EG5531,EGNT,,POL,"ONLY AVBL FOR TFC
below FL125",H24,To enable/enforce correct connectivity to standard routeings and reflect operational procedures.,,EG,14 APR 2022,
EG5532,EGGP,,WAL,"ONLY AVBL FOR TFC
DEP EGNL",H24,To enable/enforce correct connectivity to standard routeings and reflect operational procedures.,,EG,14 APR 2022,
EG5533,EGGP,,ROSUN,"ONLY AVBL FOR TFC
DEP EGNM",H24,To enable/enforce correct connectivity to standard routeings and reflect operational procedures.,,EG,14 APR 2022,
EG5534,EGGP,,TIPOD,ONLY AVBL FOR TFC,H24,To enable/enforce correct connectivity to standard routeings and reflect operational procedures.,,EG,14 APR 2022,
EG5537,EGLF,"ELDAX1V, SOKDU1V, KATHY1V, CPT1V",,"ONLY AVBL FOR TFC
acft-eqpt RNAV1 (D1, D2, D3, D4, O1, O2, O3, O4)",H24,RNAV1 STAR FOR EGLF,,EG,25 JAN 2020,
EG5538,EGLK,"ABSAV1P, NOTGI1P, CPT1P",,"NOT AVBL FOR TFC
acft-eqpt RNAV1 (D1, D2, D3, D4, O1, O2, O3, O4)",H24,RNAV5 STARS for EGHL /EGLF/EGLK / EGTD / EGTF / EGVO,,EG,25 APR 2022,
EG5539,EGNC,,"POL,SETEL,UPTON","TBD
- General conditions apply",H24,To reflect operational procedures and ensure correct FDP.,,EG,17 JUL 2022,
EG5540,EGNE,,"BANEM,CLN","TBD
- General conditions apply",H24,To reflect operational procedures and ensure correct FDP.,,EG,17 JUL 2022,
