RAD Application ID,Condition,Explanation,"Time
Applicability",NAS / FAB,"Release
Date","Special Event and 
Crisis"
EN_LIM_AD,Limits,"AD Departures/Arrivals DCT =  100NM
ENGM Departures/Arrivals DCT = 0NM (except local flights within OSLO_GROUP)
ENBR Departures/Arrivals DCT = 0NM (except DEP/ARR ENBR / ENSO / ENUL / ENBH / ENFJ / ENBG)
ENZV Departures/Arrivals DCT = 0NM (except DEP/ARR ENZV / ENHD / ENSO / ENSX / ENUL / ENHX / ENBH / ENFJ / ENBG)
ENVA Departures/Arrivals DCT = 0NM (except local flights within TRONDHEIM_GROUP)
ENCN  Departures/Arrivals DCT = 0NM (except local flights within KJEVIK_GROUP)
ENRY / ENTO Departures/Arrivals DCT = 0NM (except local flights within FARRIS_GROUP and ENGM)
ENTC Departures/Arrival DCT = 0NM (except DEP/ARR ENDU / ENSR / ENTC )
ENBO Departures/Arrivals DCT = 0NM (except 1. DEP/ARR ENBO / ENMS / ENRA 2. DEP ENST / ENBN / ENRS)
ENDU Departures/Arrival DCT = 0NM (except DEP/ARR ENDU,ENEV,ENTC)
ENEV Departures/Arrival DCT = 0NM (except DEP/ARR ENDU,ENEV)",H24,EN,06 JAN 2022,
EP_LIM_AD,Limits,"EP** ARR/DEP DCT 50NM EXC (EPBY, EPGD, EPKK, EPKT, EPLB, EPLL, EPMO, EPPO, EPRA,  EPRZ, EPSC, EPSY, EPPW, EPWA, EPWR, EPZG) ARR/DEP  DCT 0NM",H24,EP,15 OCT 2024,
ES_LIM_AD,Limits,"ES** ARR/DEP DCT = 100NM EXC
(ESGG,  ESMS, ESSA, ESSB) ARR/DEP DCT = 26NM",H24,ES,28 JAN 2025,
EV_LIM_AD,Limits,"EV** ARR/DEP DCT = 0NM EXC
ARR/DEP EVRA & FLT-TYPE (M)",H24,EV,28 JAN 2025,
EY_LIM_AD,Limits,"EY** ARR/DEP DCT = 50NM EXC
(EYKA, EYVI) ARR/DEP DCT = 0NM",H24,EY,28 JAN 2025,
GC_LIM_AD,Limits,Departures/Arrivals DCT =  0NM,H24,GC,,
GC_TP,SID / STAR Requirements,"For AD's  where SID/STARs are published: 
- the last RP of the SID shall be filed as the first RP of the route 
- the first RP of the STAR shall be filed as the last RP of the route",H24,GC,,
GM_LIM_AD,Limits,"1. GM** ARR/DEP DCT = 50NM EXC
   a. (GMAD, GMFO, GMME, GMMN, GMTT, GMMX) ARR/DEP DCT = 0NM
   b. GMMZ ARR DCT = 0NM
   c. GMTN ARR/DEP DCT = 20NM",H24,GM,28 JAN 2025,
LA_LIM_AD,Limits,"LA** ARR/DEP DCT 50NM
LATI  ARR/DEP DCT 0NM",H24,LA,21 AUG 2024,
LB_LIM_AD,Limits,"LB** ARR/DEP DCT = 50NM EXC
(LBBG, LBGO, LBPD, LBSF, LBWN) = 0NM",H24,LB,28 JAN 2025,
LC_LIM_AD,Limits,LC** ARR/DEP DCT 0NM,H24,LC,29 JAN 2025,
LD_LIM_AD,Limits,"LD** ARR/DEP DCT 50NM EXC (LDDU, LDPL, LDRI, LDSB, LDSP, LDZA, LDZD) ARR/DEP DCT 0NM",H24,LD,18 SEP 2024,
LD_TP,SID / STAR Requirements,"The use of SID/STARs is mandatory where published.  SIDs/STARs shall be completely followed within LDZO FIR, leaving or joining at an intermediate point is not permitted.",H24,LD,18 SEP 2024,
LE_LIM_AD,Limits,"Departures/Arrivals DCT =  0NM
LEAO / LEBT / LEEC / LELO Departures/Arrivals = 50NM
LXGB = 0 NM",H24,LE,,
LE_TP,SID / STAR Requirements,"For AD's  where SID/STARs are published: 
- the last RP of the SID shall be filed as the first RP of the route 
- the first RP of the STAR shall be filed as the last RP of the route",H24,LE,,
LF_LIM_AD,Limits,"For the following airfields (where SIDs and STARs are published)   LFAC / LFAQ / LFAT / LFAV / LFAY / LFBA / LFBD / LFBE / LFBF / LFBH / LFBI / LFBL / LFBO / LFBP / LFBT / LFBU / LFBZ / LFCK / LFCR / LFDN / LFEA / LFEQ / LFEY / LFFI / LFFO/ LFGA / LFHY / LFJL / LFJR / LFKB / LFKC / LFKF / LFKJ / LFLA / LFLB / LFLC /  LFLH / LFLL / LFLM / LFLN / LFLP / LFLS  / LFLX / LFLY / LFMA / LFMD /LFMH / LFMI / LFMK / LFML / LFMN / LFMP / LFMQ / LFMT / LFMV /  LFOB /LFOD/  LFOE / LFOH / LFOJ / LFOK / LFOO / LFOU  / LFOP / LFOQ / LFOT / LFOV / LFOZ / LFPB  / LFPG / LFPM / LFPN / LFPO / LFPT / LFPV / LFQA / LFQE / LFQG / LFQM / LFQQ / LFQT / LFRE / LFRG / LFRI / LFRK / LFRM / LFRQ / LFRS / LFRV / LFRZ / LFSB / LFSD / LFSG / LFSI / LFSL / LFST / LFTH / LFTW / LFTZ / LFOR
Departures/Arrivals  DCT = 0NM
DEP/ARR LFBC / LFBN / LFBK / LFBR / LFBS / LFBX / LFCA / LFCB / LFCC / LFCD / LFCH / LFCG / LFCI / LFCJ / LFCL / LFCN / LFCO / LFCP / LFCQ / LFCS / LFCW / LFCX / LFCY / LFCZ / LFDA / LFDB / LFDC / LFDH / LFDI / LFDJ / LFDK / LFDM / LFDP / LFDR / LFDT / LFDU / LFDX / LFEL / LFFK / LFGB / LFHE / LFHH / LFHP / LFHS / LFHV / LFHX / LFID / LFIL / LFIM / LFIV / LFKO / LFKT / LFKS / LFLD / LFLG / LFLO / LFLR / LFLU /  LFLV / LFLW / LFMF / LFMW / LFMY / LFOA / LFOR / LFSM /LFWM /LFWO  / LFXB DCT= 0NM
DEP/ARR LFMC / LFTF  DCT = 30NM
DEP/ARR LFSP DCT = 40NM
DEP  LFEB / LFEC / LFED / LFER / LFES /  LFFW /  LFOM / LFRB / LFRC / LFRD / LFRF / LFRH /LFRJ / LFRL / LFRN / LFRO / LFRP / LFRT / LFRU / LFRW /LFSS / LFTQ DCT  = 0NM
DEP/ARR LFSM  DCT =  0NM
ARR LFAD / LFFE / LFFQ / LFPA / LFPE / LFPF / LFPH / LFPK / LFPL / LFPP / LFPQ / LFPX / LFPZ / LFQB / LFXU DCT = 0NM
AD Departures/Arrivals DCT = 50NM",H24,LF,14 MAY 2025,
LF_TP,SID / STAR Requirements,"For AD's:
LFAC / LFAQ / LFAT / LFBA / LFBD / LFBE / LFBF /  LFBH / LFBI / LFBL / LFBO / LFBP / LFBT / LFBU / LFBZ/ LFCK / LFCR / LFDN / LFJL / LFKC / LFKF / LFKJ / LFLB / LFLC / LFLL / LFLN / LFLO / LFLP / LFLS  / LFLX / LFLY / LFMD / LFMH / LFMA / LFMI / LFMK / LFML / LFMN / LFMP / LFMQ / LFMT / LFMV  / LFOB / LFOJ / LFOK / LFOP / LFOT / LFPB / LFPG / LFPM / LFPN / LFPO / LFPT / LFPV / LFQB / LFQQ / LFQT / LFRG / LFRK / LFRS  / LFSB  / LFSL / LFST / LFTH / LFTW / LFTZ
-       The last RP of the SID shall be filed as the first RP of the route,
-      The first RP of the STAR shall be filed as the last RP of the route.",H24,LF,14 MAY 2025,
LG_LIM_AD,Limits,"1. LG** ARR/DEP DCT 50NM EXC
     a. (LGAL, LGAV, LGBL, LGHI, LGIR, LGKC, LGKF, LGKL, LGKO, LGKR, LGKV, LGKZ, LGLM, LGMK, LGMT, LGPZ, LGRP, LGRX,   LGSK, LGSM, LGSR, LGST, LGSY, LGTS, LGZA) ARR/DEP DCT 0NM
     b. (LGIO, LGKP, LGML) DEP DCT 0NM
     c. LGSA ARR/DEP DCT 0NM EXC ARR LGSA & FLT-TYPE (M)",H24,LG,07 OCT 2024,
LG_TP,SID / STAR Requirements,"(Military traffic is exempt except DEP LGSA)

For AD's: LGAL / LGAV / LGBL / LGHI / LGIR / LGKC / LGKF / LGKL / LGKO / LGKR / LGKV / LGKZ / LGLM / LGMK / LGMT / LGPZ /  LGRP / LGRX / LGSA / LGSK / LGSM / LGSR / LGST / LGSY / LGTS / LGZA
SIDs/STARs shall be completely followed, leaving or joining at an intermediate point is not permitted",H24,LG,11 MAR 2025,
LH_LIM_AD,Limits,"1. LH** ARR/DEP DCT = 50NM EXC
   a. LHPR ARR/DEP DCT = 30NM
   b. LHBP ARR/DEP DCT = 0NM",H24,LH,28 JAN 2025,
LI_LIM_AD,Limits,AD   Departures/Arrivals DCT  = 0NM,H24,LI,,
LI_TP,SID / STAR Requirements,"The use of SID/STARs is mandatory where published. 
SIDs/STARs shall be completely followed within Italian airspace, leaving or joining at an intermediate point is not permitted
- Exemptions for the above are city pairs LIMC-LIML/LIML-LIMC/LIMC-LIMF/LIMF-LIMC
",H24,LI,02 SEP 2023,
LJ_LIM_AD,Limits,"(LJCE, LJLJ, LJMB, LJPZ) ARR/DEP DCT 0NM",H24,LJ,27 JUL 2024,
LK_LIM_AD,Limits,LK** ARR/DEP DCT 0NM,H24,LK,02 AUG 2024,
LL_LIM_AD,Limits,"LL** ARR/DEP DCT 0NM EXC FLT-TYPE (M) & (LLEK, LLHS, LLHB, LLRD) ARR/DEP DCT 50NM",H24,LL,26 SEP 2024,
LM_LIM_AD,Limits,LM** ARR/DEP DCT 0NM,H24,LM,12 SEP 2024,
LO_LIM_AD,Limits,LO** ARR/DEP DCT 0NM,H24,LO,17 JUL 2024,
LP_LIM_AD,Limits,"1. LP** ARR/DEP DCT = 0NM (SID & STAR) EXC
LPLA ARR/DEP DCT = 50NM
2. LP** ARR/DEP DCT = 25NM NO (SID & STAR)",H24,LP,28 JAN 2025,
LQ_LIM_AD,Limits,"1. LQSA ARR/DEP DCT 45NM
2. LQBK ARR/DEP DCT 30NM
3. LQMO ARR/DEP DCT 35NM
4. LQTZ ARR/DEP DCT 40NM",H24,LQ,28 JAN 2025,
LR_LIM_AD,Limits,"1. LR** ARR/DEP DCT = 35NM EXC
   a. (LRAR, LRBS,  LRCK, LRCL, LROP, LRSB, LRTM, LRTR) ARR/DEP DCT = 0NM
   b. LRBC ARR DCT = 0NM
   c. LRBC DEP DCT = 17NM
   d. (LRBM, LRCV, LROD, LRSM, LRTC) ARR/DEP DCT = 17NM
   e. (LRBV, LRIA, LRSV) DEP DCT = 0NM
   f. (LRIA, LRSV) ARR DCT = 17NM
   g. LRBV ARR DCT = 24NM",H24,LR,28 JAN 2025,
LS_LIM_AD,Limits,LS** ARR/DEP DCT 0NM,H24,LS,06 MAR 2025,
LT_LIM_AD,Limits,LTAI / LTBH / LTBJ / LTBS Departure/Arrival DCT = 0nm,H24,LT,,
LT_TP,SID / STAR Requirements,"DCT only allowed within the confines of the TMAs
For AD's where SID/STARs are published: 
- the last RP of the SID shall be filed as the first RP of the route 
- the first RP of the STAR shall be filed as the last RP of the route",H24,LT,,
LU_LIM_AD,Limits,"1. LU** ARR/DEP DCT 50NM EXC
a. LUKK ARR/DEP DCT 0NM
b. FLT-TYPE (X)",H24,LU,12 SEP 2024,
LW_LIM_AD,Limits,LW** ARR/DEP DCT = 0NM,H24,LW,28 JAN 2025,
LY_LIM_AD,Limits,"1. LY** ARR/DEP DCT = 50NM EXC
   a. (LYBE, LYBT, LYKV, LYNI, LYPG, LYPT, LYTV, LYUZ, LYVR) ARR/DEP DCT = 0NM
   b. (BKPR, LYPR) ARR/DEP DCT = 34NM",H24,LY,28 JAN 2025,
LZ_LIM_AD,Limits,"(LZIB, LZKZ, LZPP LZSL LZTT) ARR/DEP DCT 0NM

(LZ** EXC LZIB, LZKZ, LZPP LZSL LZTT) ARR/DEP DCT 30NM",H24,LZ,27 JUL 2024,
UG_LIM_AD,Limits,"ARR/DEP (UGKO, UGSB, UGTB) DCT 0 NM",H24,UG,29 AUG 2024,
UK_LIM_AD,Limits,"Departures/Arrivals DCT  =  0 NM
Exceptions - Type of Flight Mil",H24,UK,,
UK_TP,SID / STAR Requirements,"For ADs where SID/STARs are published: 
- the last PT of the SID shall be used as the first PT of the filed route;
- the first PT of the STAR shall be used as the last PT of the filed route.
Exceptions - Type of Flight Mil",H24,UK,,
