RAD Application ID,Airspace,"Airspace
Vert. Limit","Time
Applicability","DCT
Horiz. Limit","Cross-border
DCT Limits","ID
DCT limit","ID Not allowed
Cross-border
DCT",Remarks,"Release
Date"
LZBBACC,LZBBACC,Below FL245,H24,0NM,Not allowed,LZ1,,,
LZBBACC_FRA_2,LZBBACC,Above FL245,H24,FRA,"Not allowed
except to/from LHCCACC,  EPWWACC and LKAAACC",-,-,Free Route Airspace,04 JAN 2023
UDDDACC,UDDDACC,Below FL195,H24,250NM,Not allowed,UD1,"LTUD400
UGUD400
UDUB400
UDOI400",,
UDDDACC_FRA,UDDDACC,Above FL195,H24,FRA,Allowed to/from UGGGACC,-,-,"Free Route Airspace
FRASC",
UGGGACC_FRA,UGGGACC,No Limit,H24,FRA,Allowed to/from UDDDACC,-,-,Free Route Airspace,21 MAR 2023
UKBVACC_2,UKBVACC,Between FL125..FL275,H24,"0NM
Except Type M and training flights","Not allowed
Except Type M and training flights
to/from
UKBVACC/UKLVACC/UKDVACC (except UKDVK Zone 2)/UKOVACC (except UKOVS/UKOVL/UKOVU)",UK1,"EPUK400
LUUK400
UKLB400
LTUK400
UKUM400
UKUU400",,
UKBVACC,UKBVACC,Below FL125,H24,"50NM
Except Type M and training flights","Not allowed
Except Type M and training flights
to/from
UKBVACC/UKLVACC/UKDVACC (except UKDVK Zone 2)/UKOVACC (except UKOVS/UKOVL/UKOVU)",UK2,"EPUK400
LUUK400
UKLB400
LTUK400
UKUM400
UKUU400",,
UKBVACC_FRA,UKBVACC,Above FL275,H24,FRA,"Allowed to/from
1. UKBVACC/UKLVACC/UKDVACC (except UKDVK Zone 2)
2. Type M and training flights to/from  UKBVACC/UKLVACC/UKDVACC (except UKDVK Zone 2)/UKOVACC (except UKOVS/UKOVL/UKOVU)",-,-,"Free Route Airspace
(see AIP of UKRAINE)
UKNESFRA",09 JUL 2021
UKDVACC_1,"UKDVACC
(Only UKDVK Zone 2)",No Limit,H24,0NM,Not allowed,UK3,-,,16 APR 2021
UKDVACC_2,"UKDVACC
(except UKDVK Zone 2)",Between FL125..FL275,H24,"0NM
Except Type M and training flights","Not allowed
Except Type M and training flights
to/from
UKBVACC/UKLVACC/UKDVACC (except UKDVK Zone 2)/UKOVACC (except UKOVS/UKOVL/UKOVU)",UK1,"EPUK400
LUUK400
UKLB400
LTUK400
UKUM400
UKUU400",,
UKDVACC,"UKDVACC
(except UKDVK Zone 2)",Below FL125,H24,"50NM
Except Type M and training flights","Not allowed
Except Type M and training flights
to/from
UKBVACC/UKLVACC/UKDVACC (except UKDVK Zone 2)/UKOVACC (except UKOVS/UKOVL/UKOVU)",UK2,"EPUK400
LUUK400
UKLB400
LTUK400
UKUM400
UKUU400",,
UKDVACC_FRA,UKDVACC (except UKDVK Zone 2),Above FL275,H24,FRA,"Allowed to/from
1. UKBVACC/UKLVACC/UKDVACC (except UKDVK Zone 2)
2. Type M and training flights to/from UKBVACC/UKLVACC/UKDVACC (except UKDVK Zone 2)/UKOVACC (except UKOVS/UKOVL/UKOVU)",-,-,"Free Route Airspace
(see AIP of UKRAINE)
UKNESFRA",09 JUL 2021
UKLVACC_2,UKLVACC,Between FL125..FL275,H24,"0NM
Except Type M and training flights","Not allowed
Except Type M and training flights
to/from
UKBVACC/UKLVACC/UKDVACC (except UKDVK Zone 2)/UKOVACC (except UKOVS/UKOVL/UKOVU)",UK1,"EPUK400
LUUK400
UKLB400
LTUK400
UKUM400
UKUU400",,
UKLVACC,UKLVACC,Below FL125,H24,"50NM
Except Type M and training flights","Not allowed
Except Type M and training flights
to/from
UKBVACC/UKLVACC/UKDVACC (except UKDVK Zone 2)/UKOVACC (except UKOVS/UKOVL/UKOVU)",UK2,"EPUK400
LUUK400
UKLB400
LTUK400
UKUM400
UKUU400",,
UKLVACC_FRA,UKLVACC,Above FL275,H24,FRA,"Allowed to/from
1. UKBVACC/UKLVACC/UKDVACC (except UKDVK Zone 2)
2. Type M and training flights
to/from
UKBVACC/UKLVACC/UKDVACC (except UKDVK Zone 2)/UKOVACC (except UKOVS/UKOVL/UKOVU)",-,-,"Free Route Airspace
(see AIP of Ukraine)
UKNESFRA",09 JUL 2021
UKOVACC_FRA_4,UKOVACC,Above FL275,H24,FRA,"Not allowed
Except Type M and training flights
to/from
UKBVACC/UKLVACC/UKDVACC (except UKDVK Zone 2)/UKOVACC (except UKOVS/UKOVL/UKOVU)
",,,"Free Route Airspace
(see  AIP of Ukraine)
UKODSFRA",29 OCT 2021
UKOVACC_3,"UKOVACC
(Only UKOVS/UKOVL/UKOVU)",Below FL275,H24,0NM,Not allowed,UK3,-,,29 OCT 2021
UKOVACC_2,"UKOVACC
(except UKOVS/UKOVL/UKOVU)",Between FL125..FL275,H24,"0NM
Except Type M and training flights","Not allowed
Except Type M and training flights
to/from
UKBVACC/UKLVACC/UKDVACC (except UKDVK Zone 2)/UKOVACC (except UKOVS/UKOVL/UKOVU)",UK1,"EPUK400
LUUK400
UKLB400
LTUK400
UKUM400
UKUU400",,
UKOVACC,"UKOVACC
(except UKOVS/UKOVL/UKOVU)",Below FL125,H24,"50NM
Except Type M and training flights","Not allowed
Except Type M and training flights
to/from
UKBVACC/UKLVACC/UKDVACC (except UKDVK Zone 2)/UKOVACC (except UKOVS/UKOVL/UKOVU)",UK2,"EPUK400
LUUK400
UKLB400
LTUK400
UKUM400
UKUU400",,
