ID,Airway,From,To,"Point or
Airspace",Utilization,"Time
Applicability",Categorisation,"Operational
Goal",Remarks,ATC Unit,NAS/FAB,"Release
Date"
ED2511,T159,SUKAD,HEFME,,"ONLY AVBL FOR TFC
1.  ARR EDDF ACFT-PBN NOT( D1, D2, D3, D4, O1, O2, O3, O4)
2. ARR (EDFE, ETOU, FRANKFURT_YZ_GROUP)
3.  DEP EDDN",H24,S,"1./ 2.: Flights complying to RNAV-1 shall file T161- FAWURDEBHI STAR  into EDDF.
3.: To offer connection for DEP EDDN for new SID configuration.",,"(EDGGACC,
EDMMACC)",ED,7-Sep-23
ED2662,T159,HEFME,INBOS,,"ONLY AVBL FOR TFC
1. ARR EDDF ACFT-PBN NOT( D1, D2, D3, D4, O1, O2, O3, O4)
2. ARR (EDFE, ETOU, FRANKFURT_YZ_GROUP)
3. DEP EDDN WITH ARR EDDF ACFT-PBN (A1, B1, B2, B3, B4, B5, B6, C1, C2, C3, C4, D1, D2, D3, D4, CONV)",H24,S,"1./2.: Flights complying to RNAV-1 shall file T161- FAWURDEBHI STAR  into EDDF.
3.: To offer connection for CP EDDN-EDDF.",,"(EDGGACC, EDMMACC)",ED,7-Sep-23
ED3017,T180,NIVNU,UNOKO,,"ONLY AVBL FOR TFC
1. ARR (EDFE, EDFZ, ETOU)
2. ARR EDDF ACFT-PBN NOT (D1, D2, D3, D4, O1, O2, O3, O4)",H24,S,"To segregate arriving traffic from transit traffic. 
Traffic ARR EDFM/FV/RY, ETAR/IE/OR  shall file NIVNU T847 TUTOV
option 2: route only available for traffic NOT RNP-1/RNAV-1 equipped.",,"(EDWWACC,
EDMMACC)",ED,7-Sep-23
ED3013,T847,TUTOVIMCOM,EMGOD,,"ONLY AVBL FOR TFC
ARR (EDFM, EDFV, EDRY, ETAR)",H24,S,To segregate arriving from transit traffic,,EDGGACC,ED,7-Sep-23
ED3037,Z110,BITBU,RASVOKULZO,,"ONLY AVBL FOR TFC
1. ARR (EDFE, EDFZ, ETOU)
2. ARR EDDF",H24,S,To segregate arriving traffic from transit traffic.,,EDGGACC,ED,7-Sep-23
LS2800,Z64,ODNUP,MOLUS,,"ONLY AVBL FOR TFC
1. ARR (LSMP, LSGK, LSTS, LSZB, LSME, LSZC, LSZG)
2. DEP LIMW",H24,S,To provide connections from FRA airspace to the mentioned aerodromes,FRACH,"(LSAGACC, LSAZACC)",LS,7-Sep-23
LS2897,,,,LSAZM2,"NOT AVBL FOR TFC
1. BEGAR DCT TRA DCT RIPUS
2. BEGAR DCT TRA DCT BASGO
3.DEP Geneva_Group, LSMP, LSGS, LSGK, LSTS, LSGC
a. via KORED DCT GAMSA 
b. via KORED DCT INTEG",H24,S,"To organize traffic flow in lower and upper sectors.
1. Traffic above FL245 shall file via BEGAR DCT RIPUS 
2. Traffic above FL245 shall file via BEGAR DCT BASGO or BEGAR DCT RIPUS DCT SOSON  DCT DEGAD DCT BASGO
3. Traffic shall file via KORED DCT BERSU",LSASFRA,"(LSAZACC, LSAGACC)",LS,7-Sep-23
LSLF1022,Z24,MOROK,AKITO,,"ONLY AVBL FOR TFC
ARR (CHAMBERY_GROUP, GENEVA_AREA, GENEVA_GROUP, LYON_GROUP, LFKD)
Except
1. ARR (LSGS) 
2. ARR LSGK, LSTS","1. SAT..SUN 07:00..18:00 (06:00..17:00)
AIRAC DEC..AIRAC MAR
2. H24",S,"Compliance with LOA LFEE/LSAG
to force traffic on a specific arrival route

ARR LSGS outside SKI  : suggested route via ..MOROK Z24 LIRKO Y55 GVA Y1 VALOR
ARR LSGS during SKI    : suggested route via ..LUTIX N869 NEMOS Y58 VADAR on SAT/SUN 07:00..18:00 (06:00..17:00) AIRAC DEC..AIRAC MAR",SKI,LFEEACC,"LS,LF",7-Sep-23
LS2544,W112,SOSON,ESEVA,,"NOT AVBL FOR TFC
1. Via GERSA N850 SOSON
2. DEP LSZH/MD
3. Via ESEVA Z669 VADAR
4. Via TELNO N871 KORED
5. ARR LSMP",H24,S,To avoid unusual flight planning,,"(LSAZACC,
LSAGACC)",LS,7-Sep-23
LS2220,Y58,NEMOS,VADAR,,"ONLY AVBL AND COMPULSORY FOR TFC
via BENOT 
ARR CHAMBERY_GROUP, LFHN/KD/LI, LSGK/GL/GP/GS/TS",H24,S,To facilitate arriving traffic. Dedicated arrival route,,,LS,7-Sep-23
LS2547,,,,SPR,"COMPULSORY FOR TFC
Via  (ED, LF, LI, LS)
1. ARR (LSGK/TS/GY)
    except-via (MOLUS, VADAR, FRI )
2. DEP LSGK, LSTS 
    except-via (VADAR, TELNO, FRI)
3. DEP (LFHM/HU/KA/KD/KX /LE/LJ)
    except-via (LSAGS, LFMMLE, PAS)
4. DEP (LSGS)
a.  ARR (E*, LE, LP)
b.  ARR LF except
      i. ARR (NICE_GROUP, TOULON_GROUP, LFK*) via ROCCA
      ii. ARR (LFLB/LI/LP/HN) via GOLEB",H24,S,"All traffic intending to join or leave  in LF, LS, LI, ED (REFLOC)    airspace shall file Z/Y over specific points
Traffic should file :  LSGS
a) F240 SPR/F260+ A1
 b) F240 SPR/F250+ Z65 
 c) F240 SPR/F260+ Z64",,,LS,7-Sep-23
LSLF1060,UN871,LTP,OMASI,,"NOT AVBL FOR TFC
1. ARR (EDNY/TD/TM, LFJL/ST/SN,  LSMD/ZA/ZH/ZR, BASEL_GROUP) 
a. Above FL305 at SOPLO 
b. Above FL325 at SOPLO
2. ARR BERN_GROUP 
Above FL285 at SOPLO 
3. ARR (LSGC/GS/MP)
Above FL265 at SOPLO  
4. ARR LSGK, LSTS
Above FL245 at SOPLO","1. H24
1a.  AIRAC MAR..AIRAC OCT
1b.  AIRAC NOV..AIRAC FEB
2,3,4. H24
",S,"Profile information, LoA between LSAG/LFMM ACCs",,"LSAGACC, LFMMACC","LS,LF",7-Sep-23
LSLF1147,,,,LSGG TMA,"NOT AVBL FOR TFC
ARR LFLI, LFHN
Except via 
1. NEMOS Y58 GVA
2. ESEVA Z669 VADAR Y58 GVA
3. LIRKO Y55 GVA
4. FRI G5 SPR Y58 GVA
5. SPR Y58 GVA with dep LSGG, LSGC, LSGL, LSGP, LSGS, LFHN, LSGK, LSTS
6. GOLEB Y52 BIVLO with dep LSGS
7. BELUS B16 PAS G5 GVA
8. PAS G5 GVA with dep LFLB, LFLP
9. BANKO Y52 BIVLO
10.ROCCA B46 GOLEB Y52 BIVLO",H24,S,To create standardized arrival routings for these aerodromes,,LSAGACC,"LS,LF",7-Sep-23
LSLF1100,,,,BEGAR,"NOT AVBL FOR TFC
1. arr (EDTD, LSGC, LSGK ,LSMA, LSMD, LSME, LSMP, LSTS, LSZM, LSML, LSZB, LSZC, LSZG, LSZH)
2. arr (EDDM, EDMA, EDMO, ETSI) above FL355
3. arr (LIME, LIMF, LIML, LIPO, LIPX) above FL355
4. arr (LSZA, LSZL, LSZS) above FL315
5. arr LIMC above FL315
6. arr LIMC above FL395
7. arr LSGS above FL295
8. arr (EDJA, EDNL, ETHL) above FL275
9. arr (EDDS, EDNY, EDTM  LSZR) above FL235","1,2,4,7,8,9. H24
3,5.AIRAC MAR..AIRAC OCT
6. AIRAC NOV..AIRAC FEB",S,"LoA between Zurich ACC and Reims ACC
1. Arrival organisation. Traffic shall file via HR, HOC or BLM.
2.-8.To facilitate descending traffic.",,LFEEACC,"LS,LF",7-Sep-23
LS2510,,,,LSAGE,"NOT AVBL FOR TFC
1. eng-type Jet
    Except
        a. ARR (BASEL_GROUP, GENEVA_GROUP,EDNY/TD/TF/TM/TN/TR/TS/TZ,    
            LS**, LFEV/GF/GJ/GI/KA/LB/LH/LJ/LP/QW/SD/SP)
        b. DEP (BASEL_GROUP, GENEVA_GROUP,  LS* ad LIMW*)
2. Via LFEE5EH before LSAGE 
    With ARR (CHAMBERY_GROUP, GENEVA_GROUP, GENEVA_AREA)
        a. except-via BEGAR DCT OLBEN below FL295
        b. Except DEP BASEL_GROUP, LFGJ/GI/LH/QM/SD
        c. Except ARR LSGS via VALOR, VADAR
        d. Except ARR LSGK, LSTS not proceeding via LSAGN
        e. Except ARR LSGC via LSZBTA
        f. Except ARR LSMP
3. Via LSZBTA before LSAGE 
     With ARR BERN_GROUP
     Except DEP BERN_GROUP
4. DEP (E*, LFP*)
    With ARR LSZ*","1,2,3, H24
4. SAT/SUN 07:00..18:00 (06:00..17:00)
AIRAC DEC..AIRAC MAR
",S,"1. To force the traffic via the LSAGUAC sectors. To prevent fast traffic avoiding regulation in LSAGUAC by filing in the lower airspace and to keep traffic out of the LSAGINI sector
2. To avoid creative flight planning. Applicable for traffic ARR Geneva Area crossing LFEE5EH before entering LSAGE sector
2.a. Only available for traffic DEP EB**, EH**, EL** With ARR LFLI, LSGG/GS (see appendix 4) Only available for Flight Planning during activation of RR9GIN & RR10GIN (LS5019) BEGAR/F290 DCT OLBEN 
3. To force traffic via specific route
4. To avoid INIS during Ski season
",4. SKI,LSAGACC,LS,7-Sep-23
LS2766,T627,BIRKI,ULMES,,"ONLY AVBL FOR TFC
ARR LSGK, LSTS",H24,S,To facilitate ARR to LSGKarriving traffic to aerodromes mentioned from LFEE via HR.,,LSAZACC,LS,7-Sep-23
LS2765,T627,LUTIX,BIRKI,,"ONLY AVBL FOR TFC
ARR LSZB, LSGK, LSTS",H24,S,To facilitate ARR to LSZB and LSGKarriving traffic to aerodromes mentioned from LFEE via HR.,,LSAZACC,LS,7-Sep-23
LS2557,,,,VADAR,"NOT AVBL FOR TFC
1. ARR LSGK/GL/GP/GY/TS
a. Above FL155  except-via LSAZCTA, LSAZUTA
b. Above FL245 via LSAZCTA, LSAZUTA
2. ARR LSGS
Above FL245",H24,C,"1.To be counted in the correct sectors
2.To be counted in the correct sectors",,LSAGACC,LS,7-Sep-23
LS2221,Z59,KONOL,LUMEL,,"NOT AVBL FOR TFC
Via (LSAGCTA, LSAGUTA)
Except
1. DEP (LSGC, LSGK, LSMP, LSTS)
2. ARR BASEL_GROUP",H24,S,To force traffic on specific route,,LSAZACC,LS,7-Sep-23
LSLF1106,G4,HR,HOC,,"NOT AVBL FOR TFC
1.  With-RFL-above FL225 in LFEERFUE except ARR EDTD
2. ARR (BERN_GROUP, LSGK, LSZM, LSMP, LSTS)
3. DEP BASEL_GROUP",H24,S,"1. To avoid yoyo flights
2. This traffic shall file HR T626 LUTIX. LoA between LFEEACC and LSAZACC
3. To avoid inventive flight planning. Traffic shall file OLBEN or ELBEG",,"(LSAZACC,
LFEEACC)","LS,LF",7-Sep-23
LSLF1129,T626,HR,LUTIX,,"ONLY AVBL FOR TFC
1. between FL105..FL155
2. below FL105 with ARR (BERN_GROUP, LSGK, LSMD, LSZM, LSMPLSMP, LSTS, LSZM)",H24,C,"1. Available for all traffic between FL105..FL155
2. To grant connectivity below FL105 only for traffic ARR BERN_GROUP, LSGK, LSMD, LSZM, LSMPLSMP, LSTS, LSZM",,"(LSAZACC,
LFEEACC)","LS,LF",7-Sep-23
LFLS1008,Z600,LUMEL,HR,,"ONLY AVBL FOR TFC
DEP BASEL_GROUP, LSGC, LSGK, LSMA, LSMD, LSME, LSMP, LSTS, LSZB, LSZC, LSZG, LSZH, LSZM
BLW FL195 at LUMEL",H24,S,"Compliance with LOA LFEE/LSAZ, to facilitate departing traffic",,LFEEACC,"LF,LS",7-Sep-23
LS2180,Y58,SPR,GVA,,"ONLY AVBL FOR TFC
1.ARR CHAMBERY_GROUP,LFKD,LFLI,LFHN
a.viaA.VIA VADAR
bB.DEP LSGL,LSGP, LSGC, LSGG, LSGS, LSGK, LSTS, LSZS, LSZL, LSZA
2.DEP LSZB, LSZG, LSZC,LSME",H24,S,"To facilitate arriving traffic
Traffic DEP LSGS with ARR LFLB/LP shall file GOLEB-Y52-SALEV 
",,,LS,7-Sep-23
LS2349,,,,TELNO,"NOT AVBL FOR TFC
1. Via (BANKO)
Except ARR BERN_GROUP, LSMP, LSGK, LSTS
2. Via MOROK",H24,S,"To prevent traffic filing creative routes
Conflict detection","Except in case of French strike
1. Via BANKO",,LS,7-Sep-23
LSLF1146,,,,LSGGTMA,"NOT AVBL FOR TFC
DEP LFLI, LFHN
Except via 
1. PAS B37 DIPIR
2. PAS G5 DEPUL
3. PAS R226 BALSI 
4. PAS J41 PENJO
5. PAS G32 ROCCA
6. PAS B16 CBY with arr LFLB, LFLP
7. SPR with arr LSGG,LSGL,LSGP,LSGC,LSGS,LSGK,LSTS,LSMP
8. SPR A1 SIROD
9. SPR Y51 FLORY
10.SPR G5 FRI 
11.SPR Z64 MOLUS N871 SOSAL 
12. SPR B46 GOLEB",H24,S,To create standardized departure for these aerodromes.,,LSAGACC,"LS,LF",7-Sep-23
LS2392,A1,SPR,SIROD,,"NOT AVBL FOR TFC
above FL195
Except 
1.DEP (LSGL/LSGP/LSGC/LSGK/LSTS/LSGS/LSMP/LFLI/LFHN/LFLJ/LFKA)
a.via SIROD L47 ARBOS
b.LFFFUJ
2.ARR LFSD, LFGJ, LFQM, LFEV, LFGI, LFLH",H24,S,To force specific traffic via a specific route,"To restrict the use of the route above FL195 to departure from the mention aerodromes.
Departure from LSGS/GK/GC/MP must use this routing if RFL above FL195 in Paris or Reims sectors.",LSAGACC,LS,7-Sep-23
LS2781,,,,BENOT,"NOT AVBL FOR TFC
via LSASFRA
except via
1. BENOT DCT NEMOS with acft-type turboprop
2. BENOT DCT NEMOS above FL245 with acft-type jet 
3. BENOT N869 NEMOS with ARR (LSGL, LSGP, LFLI, LFHN, LSGS, LSGK, LSTS, LFLL, LFLY, LFLS, LFLB, LFLP, LFLJ, LFKA)
4. ARR LSGG",H24,S,"1.& 2. BENOT DCT NEMOS a direct option for overflights.  Not available for jet traffic below FL245 to keep this traffic out of the lower sectors.
3. Dedicated arrival route to ADs mentioned.
4. ARR LSGG shall file BENOT STAR",FRACH,"(LSAGACC, LSAZACC)",LS,7-Sep-23
LS2794,,,,KINNI,"NOT AVBL FOR TFC
via LSASFRA
Except VIA
1. KINNI DCT (GILIR, SOSAL, LAMUR)
2. KINNI N871 MOLUS with ARR LSGC,LSMP, LSGK, LSTS, LSZB, LSZG, LSME, LSZC, LSZS, Basel Group
3. KINNI Z67 VENAT with ARR LSGS, Basel_Group)",H24,S,"1. KINNI DCT GILIR, SOSAL, LAMUR for overflights via LSASFRA.
2. & 3. To provide connections to the mentioned ATS routes for arrivals to the mentioned aerodormes.
",LSASFRA,"(LSAGACC, LSAZACC)",LS,7-Sep-23
LS2789,,,,UBIMA,"NOT AVBL FOR TFC
via LSASFRA
EXC
1. via UBIMA DCT (GILIR, UNKIR, IBODI)
2. via UBIMA DCT SOSAL
3. via UBIMA N853 MOLUS with ARR (LSGC, LSMP, LSGK, LSTS, LSZB, LSGL, LSZG, LSME, LSZC)",H24,S,"1. UBIMA DCT GILIR, UNKIR, IBODI for overflights via LSASFRA.
2. UBIMA DCT SOSAL or overflights via LSASFRA.
3. UBIMA N853 MOLUS to provide connectionsfor arrivals to  the mentioned aerodormes.
",FRACH,"(LSAGACC, LSAZACC)",LS,7-Sep-23
LSLI1034,,,,LSASFRA,"NOT AVBL FOR TFC
via AOSTA
Except
1. AOSTA DCT ORSUD 
2. via AOSTA L615 BANKO WITH ARR (Geneva_Group, LSGC, LSMP, LSGS, LSGK, LSTS, LSZB, LSZG, LSME, LSZC, LFGJ, LFSD, LFLB, LFLP, LFLJ, LFKA, LFQM, LFEV, LFGI, LFLH)",H24,S,"1. AOSTA DCT MOLUSORSUD for overflights via LSASFRA.
2. Within LSASFRA, AOSTA L615 BANKO  is only available for arrival connections from the mentioned aerodromes. 
",LSASFRA,"(LSAGACC, LSAZACC)","LS,LI",7-Sep-23
LS2782,,,,NEMOS,"NOT AVBL FOR TFC
via LSASFRA
Except
1. NEMOS DCT (NINTU, GVA)
2. via NEMOS Y58 VADAR with ARR (LSGS, LSGK, LSTS, LSGL, LFLB, LFLP, LFLJ, LFKA, LFLI, LFHN)
3. via NEMOS N869 VEROX with ARR (LFLL, LFLS, LFLY)
4. NEMOS DCT MILPA with ARR LFLU, LFMH
5. ARR LSGG",H24,S,"1. NEMOS DCT NINTU, GVA are direct options for overflights. 
2. & 3. To provide connections to the mentioned ATS routes for arrivals to  the mentioned aerodormes.
4. NEMOS DCT MILPA (DCT NUSBA) is only available for traffic arriving LFLU/MH
5. STAR LSGG
",FRACH,"(LSAGACC, LSAZACC)",LS,7-Sep-23
LS2370,T14,MILPA,GIRKU,,"ONLY AVBL FOR TFC
1. Via ONNOF with DEP LSGC,LSMP,LSGK,LSTS,LSGS
2. Type M 
GIRKU DCT KOGAS ABV FL245",H24,S,"1. To prevent creative flight planning
2. To offer a route to Military GAT traffic not permitted to overfly Swiss sovereign territory.",,,LS,7-Sep-23
LS2770,,,,MILPA,"NOT AVBL FOR TFC
via LSASFRA
except (
1. MILPA DCT ONNOF ABV FL225
2. MILPA DCT KOGAS
3. MILPA DCT NUSBA and-then ARR (LFLU, LFMH)
4. MILPA DCT GIRKU with flt-type M ABV FL245
5. MILPA N869 NINTU with DEP (LSGC, LSMP, LSGS, LSGK, LSTS, LSZB, LSZG, LSZC, LSME)
6. MILPA Y1 GVA and-then ARR LSGS,
7. MILPA T14 ONNOF
8. ARR (LFLL, LFLY, LFLS))",H24,S,"1. MILPA DCT ONNOF is only available in LSASFRA for traffic departing Basel Group with the routing GILIR DCT TUROM DCT MILPA DCT ONNOF.
2. MILPA DCT KOGAS  is only available in LSASFRA for traffic departing Basel Group with the routing GILIR DCT TUROM DCT MILPA DCT KOGAS.
3. MILPA DCT NUSBA is only available in LSASFRA for traffic arriving LFLU/MH.
4. MILPA DCT GIRKU is only available for State flights that must avoid Swiss territory.
5. MILPA N869 NINTU is only available within LSASFRA for departure connections from the mentioned aerodromes.
6. MILPA Y1 GVA is only available in LSASFRA for traffic arriving LSGS.
7. To allow departure connections from aerodromes in the LSAG area.
8. MILPA is a STAR for these aerodromes.
",LSASFRA,"(LSAGACC, LSAZACC)",LS,7-Sep-23
LSLF1134,,,,LSASFRA,"NOT AVBL FOR TFC
via GIRKU
Except
1. GIRKU DCT KOGAS WITH flt-type M
2. GIRKU T14 ONNOF WITH DEP LSGC, LSGK, LSTS, LSMP, LSGS",H24,S,"1.GIRKU is only available for type M in order to avoid Swiss territory and to allow for changes from OAT to GAT at GIRKU. Traffic shall file GIRKU DCT KOGAS.
2. GRIKU T14 ONNOF is only available for departure connections from the mentioned aerodromes",LSASFRA,"(LSAGACC, LSAZACC)","LS,LF",7-Sep-23
LS2790,,,,SOSAL,"NOT AVBL FOR TFC
via LSASFRA
Except
1. SOSAL DCT KORED
2. SOSAL N871 TELNO
a) with ARR (LSZB, LSZG, LSME, LSZC, LSZS, Basel_Group)
b) with DEP (LSGG, LSGC, LSGS, LSGL, LFLL, LFLY, LFLS, LFLB, LFLP, LFLJ, LFKA)
3. SOSAL Z61 FRI with ARR LSMP
4. ARR LSGS, LSGK, LSTS",H24,S,"1. SOSAL DCT KORED  for overflights via LSASFRA.
2. - 4. To provide connections to the mentioned ATS routes for arrivals/departures to the mentioned aerodormes.
",LSASFRA,"(LSAGACC, LSAZACC)",LS,7-Sep-23
LS2838,,,,LSASFRA,"NOT AVBL FOR TFC
DEP LSGK, LSTS
except via(
1. FRI W112 TELNO N871 BERSU
2. SPR A1 LISMO
3. SPR A1 SIROD L47 ARBOS
4. SPR Z65 MILPA N869 NINTU
5. SPR T65 MILPA T14 ONNOF
6. SPR Z65 MILPA DCT KOGAS DCT MEDAM DCT NITAM
7. SPR Z65 MILPA DCT KOGAS DCT MEDAM DCT VEVAR)",H24,S,"To create structural limitations to manage the traffic flows climbing from the mention AD to the FRA skyguide so that capacity, complexity and safety can be maintained.  Any other ATS RTS than mentioned in column F can only be filed below FL195 in skyguide AoR.",LSASFRA,"(LSAGACC, LSAZACC)",LS,7-Sep-23
LS2891,,,,LSASFRA,"NOT AVBL FOR TFC
via LUSAR
except(
1. ARR LSGG
2. LUSAR DCT MOLUS below FL275 WITH ARR (LSZH, LSMD, LSZR, LSZS, LSZA, LSZL)
3. LUSAR Z64 LIRKO WITH ARR (LSMP, LSGK, LSTS, LSZB,LSGL,LSZG, LSME, LSZC, LFLJ, LFKA, LFLI, LFHN)
4. LUSAR DCT LURAG)","1 - 3. H244. 2200..0500 (2200..0400)",S,"1. LUSAR is start of LSGG STAR.
2. LUSAR DCT MOLUS (DCT KORED) provides FRA connections for traffic arriving to the LSAZ area.
3. Within LSASFRA, LUSAR Z64 LIRKO is only available for arrival connections from the mentioned aerodromes. 
4. LUSAR DCT LURAG provides a shorter night time connection.
",LSASFRA,"(LSAGACC, LSAZACC)",LS,7-Sep-23
LSLF1139,,,,LSASFRA,"NOT AVBL FOR TFC
via OMASI
except
1. OMASI DCT KINNI
2. OMASI N871 KINNI WITH ARR (LSGC, LSMP, LSGK, LSTS, LSGS, LSZB, LSZG, LSME, LSZC, Basel_Group)
3. OMASI DCT GAMSA above FL245","1. 2. H24
3. 22:00..05:00 (23:00..04:00)",S,"1. OMASI DCT KINNI for overflights via LSASFRA.
2. OMASI N871 KINNI to allow transitions to the ATS route network for traffic arriving to aerodromes below the LSASFRA.
3. OMASI DCT GAMSA to allow for shorter connections at night.
",LSASFRA,"(LSAGACC, LSAZACC)","LS,LF",7-Sep-23
LSLI1036,,,,LSASFRA,"NOT AVBL FOR TFC
via KUKEV
Except
1. DEP (LIMF, LIMZ)
a. KUKEV DCT MOLUS
b. KUKEV L50 BANKO WITH ARR (Geneva_Group, LSGC, LSMP, LSGS, LSGK, LSTS, LSZB, LSZG, LSME, LSZC, LFGJ, LFSD, LFLB, LFLP, LFLJ, LFKA, LFQM, LFEV, LFGI, LFLH)",H24,S,"KUKEV is only available for traffic departing LIMF and LIMZ
a. KUKEV DCT MOLUS for overflights via LSASFRA.
b. Within LSASFRA, KUKEV L50  BANKO  is only available for arrival connections from the mentioned aerodromes.
",LSASFRA,"(LSAGACC, LSAZACC)","LS,LI",7-Sep-23
