ARR ID,ARR AD,"First PT STAR /
STAR ID",DCT ARR PT,ARR FPL Option,"ARR Time
Applicability","ARR Operational
Goal",ARR Remarks,NAS / FAB,"Release
Date"
LZ5531,LZZI,TEKLA,,"ONLY AVBL FOR TFC
1. via NIDOK L617 TEKLA
2. With RFL below FL135 in LZBBFIR",H24,FRA connecting route,,LZ,4-Sep-23
LZ5546,LZSL,"TIVON, KREMI, KALIF, TURIS",,"ONLY AVBL FOR TFC
1. via EPEDA R53 TIVON
2. via NIDOK L617 KREMI
3. via TAKOS A42 KALIF
4. via ABITU DCT TURIS
5. via NIT A42 TURIS
6. via LITKU Y301 KALIF
7. With RFL below FL135 in LZBBFIR",H24,FRA connecting route,,LZ,4-Sep-23
LZLK5502,LKMT,BILNA,,"ONLY AVBL FOR TFC
1. via KOPAT L617 BILNA
2. DEP LZZI
3. With RFL below FL135 in LZBBFIR",H24,FRA connecting route,,"LZ, LK",4-Sep-23
ED5555,EDDF,RASVO 1A/1B/1C/1D,,"ONLY AVBL AND COMPULSORY FOR TFC
VIA RAMOB ACFT-PBN (D1, D2, D3, D4)
------
NOT AVBL FOR TFC
ARR EDDF VIA RAMOB
EXC
1. VIA RASVO
2. DEP EDFH VIA RAMOB
3. VIA OBIGA Z111 RAMOB",H24,"To force RNAV-1 equipped flights to use correct RNAV STARs.  
The compulsory part of the restriction is only on RAMOB RASVO 1A/1B/1C/1D EDDF.
---------------------
2. to enable flight planning with intercept RASVO STAR at waypoint RAMOB as shortcut for CP EDFH - EDDF
3. to enable shortcuts for ARR EDDF via IDARO - OBIGA - Z111 - RAMOB
Heavies (ACFT type (A38*/MD11/B74*/C-5 Galaxy/AN124/AN225/E3A/KC35)), CARGO, GAT, shall expect landing on RWY25L/07R.
Switchover to southerly runway may be expected on turn to final. 
Assignment of RASVO 1B/1C STAR by ATC is possible.
In case of RCF landing on RWY25L/07R shall be performed.",,ED,7-Sep-23
LF7037,LFMK,,"FJR, GAI, MONIX, ORBIL, RAPES",,H24,Airport connectivity,,LF,8-Sep-23
LF5750,LFCK,FINOT,FINOT,"COMPULSORY FOR TFC
via LFBBUBDX
------
NOT AVBL FOR TFC
via LFBBUBDX except
1. via TUPAR DCT CNA DCT UVELI DCT SECHE DCT GAI G36 FINOT
2. via SOPIL DCT BALAN DCT EVPOK DCT NARAK DCT GAI G36 FINOT
3. via DISAK DCT DIRMO DCT GUERE DCT EVPOK DCT NARAK DCT GAI G36 FINOT
4. via ERIXU DCT ETAMO DCT GUERE DCT EVPOK DCT NARAK DCT GAI G36 FINOT
5. via ENUPA [DCT/G21] KUKOR DCT GUERE DCT EVPOK DCT NARAK DCT GAI G36 FINOT
6. via REPSI DCT LERGA DCT MINSO DCT NARAK DCT GAI G36 FINOT
7. via ESIDA DCT LERGA DCT MINSO DCT NARAK DCT GAI G36 FINOT
8. via TOPTU DCT TOU G393 FINOT
9. via ANETO DCT GONUP DCT TOU G393 FINOT
10. via GIROM DCT TOU G393 FINOT
11. via DEPOM DCT DIRMO DCT GUERE DCT EVPOK DCT NARAK DCT GAI G36 FINOT",H24,"Airport connectivity
----
to organize ARR in LFBBUBDX","Other STAR only available below FL195 in LFBBFIR
FRA rule
In CACD define as per Annex3B:
DEPOM DCT DIRMO: FL135-UNL
Other DCTs: FL195-UNL",LF,8-Sep-23
LF5809,LFCI,,GAI,"COMPULSORY FOR TFC
via LFBBUBDX
------
NOT AVBL FOR TFC
via LFBBUBDX except
1. via TUPAR DCT CNA DCT UVELI DCT SECHE DCT GAI
2. via SOPIL DCT BALAN DCT EVPOK DCT NARAK DCT GAI
3. via DISAK DCT DIRMO DCT GUERE DCT EVPOK DCT NARAK DCT GAI
4. via ERIXU DCT ETAMO DCT GUERE DCT EVPOK DCT NARAK DCT GAI
5. via ENUPA [DCT/G21] KUKOR DCT GUERE DCT EVPOK DCT NARAK DCT GAI
6. via TOPTU DCT TOU DCT GAI
7. via GIROM DCT AGN DCT GAI
8. via GEANT DCT ROCAN DCT TOU DCT GAI
9. via REPSI DCT LERGA DCT MINSO DCT NARAK DCT GAI
10. via ESIDA DCT LERGA DCT MINSO DCT NARAK DCT GAI
11. via DEPOM DCT DIRMO DCT GUERE DCT EVPOK DCT NARAK DCT GAI",H24,"Airport connectivity
----
to organize ARR in LFBBUBDX","FRA rule
In CACD define as per Annex3B:
AGN DCT GAI: MEA-UNL
DEPOM DCT DIRMO: FL135-UNL
Other DCTs: FL195-UNL",LF,8-Sep-23
LF7124,LFBO,,"AGN, ASPET, GAI, LMB, SECHE",,H24,Airport connectivity,,LF,8-Sep-23
LF7125,LFBF,,"AFRIC, AGN, ASPET, GAI, LMB, MONIX, SECHE",,H24,Airport connectivity,,LF,8-Sep-23
LF7126,LFBR,,"AGN, ASPET, AUCHE, DODOM, FINOT, 
GAI, MONIX","COMPULSORY FOR TFC
via LFBBFIR except via LFFRASW",H24,Airport Connectivity,,LF,8-Sep-23
LF7098,LFDJ,,"ADSER, ASPET, DODOM, FINOT, RAPES","COMPULSORY FOR TFC
via LFBBFIR except via LFFRASW",H24,Airport connectivity,,LF,8-Sep-23
LF5624,"LFBO, LFBF",LMB,LMB,"NOT AVBL FOR TFC
ARR LFBO, LFBF
With RFL above FL195 in LE",H24,This traffic shall file via TOPTU,,LF,8-Sep-23
EN5543,ENBR,,"ALUVA,BADAB,ETNOR,LUNUR,MODNI,PESUR,NIDGI,GENVU","NOT AVBL FOR TFC
acft-eqpt (D1,D2,D3,D4,O1,O2,O3,O4)
with-rfl-above FL095
except 
1. Flt-type X
2. acft-type F70/F100",H24,RNAV1/RNP1 equipped flights shall file via published STAR if RFL above FL095,,EN,8-Sep-23
LF5814,"LFBH, LFDN",MAREN,,"COMPULSORY FOR TFC
VIA LFFRASW
------
NOT AVBL FOR TFC
via LFFRASW except
1. via LMG DCT CNA DCT ESUZE A25 MAREN
2. via SECHE DCT VELIN DCT ESUZE A25 MAREN
3. via LUSEM DCT LULUT DCT BMC A25 MAREN
4. via LERGA DCT CNA DCT ESUZE A25 MAREN
   a. via NOQAS DCT LERGA
   b. DEP LFML, LFHP
5. DEP LFBF/BM/BO/BP/BR/BT/BZ/CI/CK/CR/DH/DJ/LW/MKSL via CNA DCT ESUZE A25 MAREN",H24,"Airport connectivity
-----
to organize ARR in LFFRASW","Other STAR only available below FL195 in LFBBFIR
FRA rule
In CACD define as per Annex3B:
CNA DCT ESUZE, VELIN DCT ESUZE: MEA-UNL
other DCTs: FL195-UNL",LF,27-Sep-23
LF7034,LFDP,,OLERO,"COMPULSORY FOR TFC
ARR LFDP
------
NOT AVBL FOR TFC
VIA LFFRASW EXC VIA
1. LMG DCT CNA DCT ESUZE A25 OLERO
2. SECHE DCT VELIN DCT ESUZE A25 OLERO
3. LUSEM DCT LULUT DCT BMC A25 OLERO
4. LERGA DCT CNA DCT ESUZE A25 OLERO
   a. VIA NOQAS DCT LERGA
   b. DEP LFML, LFHP
5. DEP LFBF/BM/BO/BP/BR/BT/BZ/CI/CK/CR/DH/DJ/LW/MK/SL VIA CNA DCT ESUZE A25 OLERO",H24,"Airport connectivity
-------
To organize ARR in LFFRASW","FRA rule
In CACD define as per Annex3B:
CNA DCT ESUZE, VELIN DCT ESUZE: MEA-UNL
other DCTs: FL195-UNL",LF,27-Sep-23
ED5614,EDTL,KRH,,"ONLY AVBL FOR TFC
VIA KRH",H24,all ARR may use KRH STAR,,ED,28-Sep-23
ED5616,EDDF,DEBHI 1B/1C,,"ONLY AVBL AND COMPULSORY FOR TFC
VIA DEBHI_x000D_
ACFT-PBN (D1, D2, D3, D4, O1, O2, O3, O4)",H24,To force RNAV-1 equipped flights to use correct RNAV STARs. ,,ED,7-Sep-23
ED5617,EDDF,IMCOM 1A/1B/1C/1D,,"ONLY AVBL AND COMPULSORY FOR TFC
VIA IMCOM_x000D_
ACFT-PBN (O1, O2, O3, O4)",H24,To force RNP-1 equipped flights to use correct RNP STARs. ,,ED,7-Sep-23
LF7267,LFCG,,"ADSER, ASPET, DODOM, RAPES","COMPULSORY FOR TFC
VIA LFBBFIR EXC VIA LFFRASW",H24,Airport connectivity,,LF,8-Sep-23
LF7269,LFCL,,"DODOM, GAI, MONIX","COMPULSORY FOR TFC
VIA LFBBFIR EXC VIA LFFRASW",H24,Airport connectivity,,LF,8-Sep-23
LF7271,LFCQ,,"FINOT, GAI, MONIX","COMPULSORY FOR TFC
VIA LFBBFIR EXC VIA LFFRASW",H24,Airport connectivity,,LF,8-Sep-23
LF7273,LFCW,,"LACOU, RUMEL, SECHE","COMPULSORY FOR TFC
VIA LFBBFIR EXC VIA LFFRASW",H24,Airport connectivity,,LF,8-Sep-23
LF7275,"LFCX, LFDB",,"AGN, GAI, GOSAD, LACOU",,H24,Airport connectivity,,LF,8-Sep-23
LF7277,LFDX,,"GOSAD, LACOU, LAVRA, RUMEL","COMPULSORY FOR TFC
VIA LFBBFIR EXC VIA LFFRASW",H24,Airport connectivity,,LF,8-Sep-23
LF7279,LFMW,,"FINOT, MONIX","COMPULSORY FOR TFC
VIA LFBBFIR EXC VIA LFFRASW",H24,Airport connectivity,,LF,8-Sep-23
LF7281,LFCI,,"AFRIC, FINOT, GAI, MEN",,H24,Airport connectivity,,LF,8-Sep-23
LF7282,"LFCI, LFCK",,MONIX,"ONLY AVBL FOR TFC
DEP (TOULOUSE_GROUP, LFBA, LFCG)",H24,Airport connectivity,,LF,8-Sep-23
LF7284,LFCK,,"AFRIC, FINOT, GAI, MASAM, MEN",,H24,Airport connectivity,,LF,8-Sep-23
LF7288,LFBO,,"DODOM, LACOU, MONIX","ONLY AVBL FOR TFC
DEP (TOULOUSE_GROUP, LFBA, LFCG)",H24,Airport connectivity,,LF,8-Sep-23
LF7291,"LFBF, LFBR",,DODOM,"ONLY AVBL FOR TFC
DEP (TOULOUSE_GROUP, LFBA, LFCG)",H24,Airport connectivity,,LF,8-Sep-23
LF7292,LFBF,,AUCHE,"ONLY AVBL FOR TFC
DEP LFDH",H24,Airport connectivity,,LF,8-Sep-23
EN5603,ENBR,GENVU,GENVU,"ONLY AVBL FOR TFC
DEP ENZV, ENHD, ENSO",H24,To facilitate correct ARR traffic flow,,EN,8-Sep-23
LG5516,LGIR,BAVES,,"ONLY AVBL FOR TFC
DEP LGKC, LGKL, LGSA","AIRAC MAR- AIRAC NOV
MON-THU 04:00-21:00 EXC HOL
FRI 04:00-12:00 EXC  HOL",To avoid LGSATMA during the specific days,,LG,18-Sep-23
LF7296,LFAC,,"KOK, TRACA, BNE, RINTI",,H24,To facilitate connection,,LF,26-Sep-23
ED5618,EDTL,,MOPAN,"ONLY AVBL FOR TFC
1. VIA LSAZCTA
2. VIA LEBSO T711 MOPAN",H24,To offer traffic from the South and South-East shortcut option in accordance with LoA EDGG ACC - LFST APCH. These flights are exempted from using STAR inbound EDTL.,,ED,28-Sep-23
LE5809,LEZL,VIBAS,,"NOT AVBL FOR TFC
ARR LEZL",H24,BAN arrivals to lEZL via VIBAS due to new LEMG STARs,,LE,29-Sep-23
LE5810,LEMG,PIMOS,,"NOT AVBL FOR TFC
ARR LEMG EXC DEP GMTN OR LXGB",H24,Ban arrivals to LEMG via pt PIMOS except traffic departing GMTN or LXGB ,,LE,29-Sep-23
LR5589,LROD,,TUVNU,"NOT AVBL FOR TFC
ARR LROD",H24,To force traffic inbound LROD and via LHCCFIR file via BADOR,,LR,20 APR 2023
LS5626,"LSZL, LSMO",,"LS213, LS214","ONLY AVBL FOR TFC
ARR LSMO ENG-TYPE (HEL)",H24,To facilitate a connection from the Low Flight Network (LFN) to LSMO.,,LS,23 AUG 2023
LF5634,"LFMN,LFTZ",,DIMAD,"ONLY AVBL FOR TFC
DEP LFMD",H24,To avoid incorrect counts in regulated airspaces,,LF,
EB5508,EBCI,CIV,,"NOT AVBL FOR TFC
eng-type Jet except DEP LILLE_GROUP",H24,STAR requirement,,EB,
LR5501,LRBS,,"ABRUT,SORDU,OBUGA,OSTAL,IDARU,NETUL,DENAK","NOT AVBL FOR TFC
Type (D1, D2, D3, D4)",H24,To facilitate correct ARR traffic flow in Bucuresti TMA,,LR,
LR5506,"LRCL
LRSB
LRTM","AKUPO,DOKUD",,"NOT AVBL FOR TFC
Via LRBBBUD19",H24,To force traffic onto correct STAR,,LR,
LR5505,LRCV,,ELDET,NOT AVBL FOR TFC,H24,To facilitate correct ARR traffic flow,,LR,
LR5502,LROP,,"TOSVI,SORDU,OBUGA,OSTAL,IDARU,NETUL,DENAK","NOT AVBL FOR TFC
Type (D1, D2, D3, D4)",H24,To facilitate correct ARR traffic flow in Bucuresti TMA,,LR,
LF5631,LFBH,LUGEN,,"ONLY AVBL FOR TFC
below FL035 at LUGEN",H24,Other traffic should file via LUGEN then LUSON to avoid LFR49,,LF,
GC5521,GCRR,LARYS,,"ONLY AVBL AND COMPULSORY FOR TFC
DEP GCXO / LA / HI / GM",H24,traffic allocation within Canarias TMA,,GC,
GC5520,GCRR,RASEP,,"ONLY AVBL AND COMPULSORY FOR TFC
DEP GCLP / TS",H24,Traffic allocation within Canarias TMA,,GC,
LE5569,LEMD,TERSA,,"NOT AVBL FOR TFC
Via NEXAS, CMA 
Traffic shall file NEXAS A975/UN975 ADUXO",H24,"To segregate arrival flows
DEP LEZG shall file CMA - DISVU - A975/UN975 ADUXO

Traffic ARR LEMD via NEXAS shall file NEXAS A975/UN975 ADUXO",,LE,
GC5605,GCHI,,LARYS,"ONLY AVBL AND COMPULSORY FOR TFC
DEP GCRR",H24,"Traffic allocation within Canarias TMA
No STAR available, expect routing via LARYS-TFN-TESEL-HIE",,GC,
LE5726,LEBB,,BLV,"ONLY AVBL AND COMPULSORY FOR TFC
DEP LEXJ/SO/VT",H24,"Traffic allocation. No STAR available, expect radar ATC instructions.",,LE,
LF5625,LFLC,,VZ,"ONLY AVBL FOR TFC
DEP LFLN",H24,To avoid aberrant routing and comply with internal system,,LF,
EN5508,"ENRY,ENTO",,"RG,YG,TOR","NOT AVBL FOR TFC
except DEP FARRIS_GROUP, OSLO_GROUP",H24,To facilitate correct ARR traffic flow,,EN,
EG5586,"EGHH,EGHI",ELDAX1S,,"NOT AVBL FOR TFC
When ORIST L982 TELTU is not available",H24,"When the Portsmouth danger areas EG D036, D037, D038, D039 and D040 are notified active for UAA L982 will be closed due to the required 5nm buffer, the STAR listed also infringes the 5nm buffer.",,EG,
EG5587,"EGKB,EGLC","KATHY1C,SAM1C",,"NOT AVBL FOR TFC
When ORIST L982 TELTU is not available",H24,"When the Portsmouth danger areas EG D036, D037, D038, D039 and D040 are notified active for UAA L982 will be closed due to the required 5nm buffer, the STAR listed also infringes the 5nm buffer.",,EG,
EG5588,EGMC,"SAM1S,KATHY1S",,"NOT AVBL FOR TFC
When ORIST L982 TELTU is not available",H24,"When the Portsmouth danger areas EG D036, D037, D038, D039 and D040 are notified active for UAA L982 will be closed due to the required 5nm buffer, the STAR listed also infringes the 5nm buffer.",,EG,
LD5513,LDZA,"NEKIN,VEBAL",,"COMPULSORY FOR TFC
ARR LDZA via LHCCCTA",H24,"To facilitate roundabout system - departures via KOPRY, arrivals via NEKIN/VEBAL",,LD,
LE5581,LEPA,GODOX,,"COMPULSORY FOR TFC
via LASPO
------
NOT AVBL FOR TFC
Via IZA",H24,To avoid dogleg,,LE,
LE5590,LERT,,VJF,"ONLY AVBL FOR TFC
Via ADKIM, LINTO, PISIG, SOVIS, XULIM",H24,"No STAR available, expect ATC instructions
Restrictions apply to civil aircraft, see LERT AD2 item 20",,LE,
EG5604,EGCN,,"UPTON,MAMUL","NOT AVBL FOR TFC
Type  (D1, D2, D3, D4, O1, O2, O3, O4) equipped",H24,Conecting points for Non RNAV1 traffic,,EG,
EG5605,EGCN,WAL,,"ONLY AVBL AND COMPULSORY FOR TFC
Type  (D1, D2, D3, D4, O1, O2, O3, O4) equipped
via WAL",H24,RNAV 1 SID,,EG,
EG5606,EGCN,REXAM,,"ONLY AVBL AND COMPULSORY FOR TFC
Type  (D1, D2, D3, D4, O1, O2, O3, O4) equipped
via REXAM",H24,RNAV 1 SID,,EG,
EG5607,EGCN,EMBOR,,"ONLY AVBL AND COMPULSORY FOR TFC
Type  (D1, D2, D3, D4, O1, O2, O3, O4) equipped
via EMBOR",H24,RNAV 1 SID,,EG,
EG5608,EGCN,TNT,,"ONLY AVBL AND COMPULSORY FOR TFC
Type  (D1, D2, D3, D4, O1, O2, O3, O4) equipped
via TNT",H24,RNAV 1 SID,,EG,
EG5609,EGCN,CALDA,,"ONLY AVBL AND COMPULSORY FOR TFC
Type  (D1, D2, D3, D4, O1, O2, O3, O4) equipped
via CALDA",H24,RNAV 1 SID,,EG,
EG5610,EGCN,SETEL,,"ONLY AVBL AND COMPULSORY FOR TFC
Type  (D1, D2, D3, D4, O1, O2, O3, O4) equipped
via SETEL",H24,RNAV 1 SID,,EG,
EG5611,EGCN,GASKO,,"ONLY AVBL AND COMPULSORY FOR TFC
Type  (D1, D2, D3, D4, O1, O2, O3, O4) equipped
via GASKO",H24,RNAV 1 SID,,EG,
EG5612,"EGHH,HI",COWLY1S,,"NOT AVBL FOR TFC
Above FL095 in EG",H24,To enforce the correct usage of the STAR.,,EG,
EG5602,EGNT,POL,,"ONLY AVBL AND COMPULSORY FOR TFC
Type  (D1, D2, D3, D4, O1, O2, O3, O4) equipped
via POL",H24,RNAV1 STAR for traffic routing via (U)N601 - (U)P17 - (U)N57 -M605 - POL,,EG,
EG5603,EGNT,RIMTO,,"ONLY AVBL AND COMPULSORY FOR TFC
Type  (D1, D2, D3, D4, O1, O2, O3, O4) equipped
via BATLI / MAMUL / RIMTO",H24,RNAV1 STAR for traffic routing via Y70 / L46 / Y250 (BALTI / MAMUL / RIMTO),,EG,
LY5512,"BKPR,LYPR",,MEDUX,"ONLY AVBL FOR TFC
Type NATO",H24,All flights to BKPR / LYPR will be subject to manual processing by the IFPO.,,LY,
ED5512,EDDK,,OBOKA,"ONLY AVBL FOR TFC
DEP EDDF",H24,To enable shortest route for CP EDDF-EDDK,,ED,
EG5579,EGKB,HON,,"COMPULSORY FOR TFC
DEP MANCHESTER_GROUP above FL075",H24,To ensure traffic uses the JACKO1H STAR,,EG,
EI5514,EICK,TISMO,,"COMPULSORY FOR TFC
1. Via  NIMAT, BAGSO, DEGOS, ERNAN
2. DEP DUBLIN_GROUP",H24,"To force traffic onto the correct
orientation",,EI,
EI5515,EICK,"VAPAL,GOTEM",,"COMPULSORY FOR TFC
Via  BANBA, EVRIN",H24,"To force traffic onto the correct
orientation",,EI,
EI5516,EICK,ELTIG,,"COMPULSORY FOR TFC
Via  NORLA",H24,"To force traffic onto the correct
orientation",,EI,
EI5513,EINN,TIPUR,,"COMPULSORY FOR TFC
Via SLANY, BANBA, EVRIN, BAKUR",H24,To force traffic onto the correct Initial Fix,,EI,
EN5515,ENBR,,"ARKEN,ARPIX,TAGUD","ONLY AVBL FOR TFC
type helicopter",H24,To facilitate correct ARR traffic flow,,EN,
EN5516,ENBR,,FLS,"ONLY AVBL FOR TFC
1.Type helicopter
2. DEP ENHD / SO",H24,To facilitate correct ARR traffic flow,,EN,
EN5558,ENGM,,GRM,"ONLY AVBL FOR TFC
type helicopter",H24,To facilitate correct ARR traffic flow,,EN,
EN5557,ENHD,RIVEX,,"COMPULSORY FOR TFC
Flight Type S
Overfly ENOS8 sector",H24,To facilitate correct ARR traffic flow.,,EN,
EN5559,ENVA,,NONVU,"ONLY AVBL FOR TFC
type helicopter",H24,To facilitate correct ARR traffic flow,,EN,
EN5520,ENZV,,ZOL,"ONLY AVBL FOR TFC
1. Type helicopter
2. DEP ENHD / SO",H24,To facilitate correct ARR traffic flow,,EN,
EN5519,ENZV,BEGOD,,"ONLY AVBL FOR TFC
DEP ENBR",H24,To facilitate correct ARR traffic flow,,EN,
EN5518,ENZV,,SOA,"ONLY AVBL FOR TFC
Type M",H24,To facilitate correct ARR traffic flow,,EN,
EN5556,ENZV,IDIPI,,"NOT AVBL FOR TFC
Flight Type S
Overfly ENOS8 sector",H24,To facilitate correct ARR traffic flow.,,EN,
ED5514,ETNL,,LAG,"COMPULSORY FOR TFC
ARR ETNL",H24,to enable shorter flight planning options,,ED,
EY5550,EYVI,,VNO,"NOT AVBL FOR TFC
ARR EYVI except DEP EYKA",H24,To connect the two aerodromes,,EY,
EN5525,FARRIS_GROUP,BAMIX,,"NOT AVBL FOR TFC
ARR FARRIS_GROUP
Except 
Via XUKDI [P601 BAMIX] / [DCT BAMIX]",H24,To facilitate correct ARR traffic flow,,EN,
EN5526,FARRIS_GROUP,ESOSI,,"NOT AVBL FOR TFC
ARR FARRIS_GROUP
Except 
Via ARTOR  [Z128 ESOSI] / [DCT ESOSI]",H24,To facilitate correct ARR traffic flow,,EN,
GC5526,GCFV,TERTO,,"ONLY AVBL FOR TFC
Type RNAV",H24,RNAV1 GNSS approved,,GC,
GC5530,GCFV,,COSTI,"NOT AVBL FOR TFC
DEP L***, E***, U***",H24,No STAR available expect routing via COSTI-TENDA,,GC,
GC5599,GCLA,,TFN,"NOT AVBL FOR TFC
DEP L***, E***, U***",H24,Traffic allocation within Canarias TMA,,GC,
GC5533,GCLA,LARYS,,"ONLY AVBL AND COMPULSORY FOR TFC
DEP GCRR / FV",H24,Traffic allocation within Canarias TMA,,GC,
GC5501,GCLP,LORPO,,"ONLY AVBL AND COMPULSORY FOR TFC
DEP GCFV / RR",H24,Traffic allocation within Canarias TMA,,GC,
GC5519,GCRR,TERTO,,"ONLY AVBL FOR TFC
Type RNAV",H24,RNAV1 GNSS approved,,GC,
GC5524,GCRR,,COSTI,"NOT AVBL FOR TFC
DEP L****, E****, U****",H24,"No STAR available, expect routing via COSTI-LINDE-LTE",,GC,
GC5523,GCRR,,GDV,"ONLY AVBL AND COMPULSORY FOR TFC
via APASO,  BIPET,  LIMAL,  ROSTA",H24,"No STAR available, expect routing via GDV-RASEP-MAPED",,GC,
GC5509,GCTS,LORPO,,"ONLY AVBL AND COMPULSORY FOR TFC
DEP GCRR / FV",H24,Traffic allocation within Canarias TMA,,GC,
GC5515,GCXO,LARYS,,"ONLY AVBL AND COMPULSORY FOR TFC
DEP GCRR / FV",H24,Traffic allocation within Canarias TMA,,GC,
LD5504,LDDU,AMUGO,,"ONLY AVBL AND COMPULSORY FOR TFC
via VAPUP, XOLTA, KATTI",H24,To preserve segregation of arriving and departing flows for LDDU in SECSI FRA,,LD,
LD5512,LDOS,OSDUK,,"COMPULSORY FOR TFC
ARR LDOS via LHCCCTA",H24,"To facilitate roundabout system - departures via BAREB, arrivals via OSDUK",,LD,
LE5544,LEAB,,BLN,"ONLY AVBL FOR TFC
Type M",H24,"No STAR available via BLN , expect ATC instructions",,LE,
LE5545,LEAL,,ALT,"ONLY AVBL AND COMPULSORY FOR TFC
DEP LELC/RI/MI",H24,"Traffic allocation within Valencia TMA / 
No STAR available, expect ATC instructions",,LE,
LE5547,LEAL,VLC,,"COMPULSORY FOR TFC
DEP LEVC",H24,Traffic allocation within Valencia TMA,,LE,
LE5692,LEAM,,GATAS,"ONLY AVBL FOR TFC
1. Via  ROLAS, TOSGA, RESTU
When LER63 is active
2. Via TARIK",H24,"No STAR available, expect ATC instructions. Subject to LED's activity along T/UT-100  while Sevilla ACC airspace.
1. Traffic shall file ROLAS/TOSGA/RESTU AMR GATAS DCT",,LE,
LE5693,LEAM,,AMR,"ONLY AVBL FOR TFC
1. Via ROLAS, TOSGA, RESTU 
When LER63 is active
2. DEP GEML",H24,"No STAR available, expect ATC instructions",,LE,
LE5548,LEAM,ESILA,,"COMPULSORY FOR TFC
DEP LEGR",H24,Traffic allocation with neighboring airports,,LE,
LE5549,LEAM,KUNEN,,"COMPULSORY FOR TFC
DEP LEMG",H24,Traffic allocation with neighboring airports,,LE,
LE5551,LEBB,CEGAM,,"NOT AVBL FOR TFC
1. Via DGO
     This traffic shall file DGO CP
2. Via GASMO  
    This traffic shall file GASMO H867/UN867 DGO",H24,To force onto DGO STAR,,LE,
LE5552,LEBB,DGO,,"COMPULSORY FOR TFC
Via DGO",H24,To force onto DGO STAR,,LE,
LE5555,LEBZ,,SANTA,"ONLY AVBL FOR TFC
Type M",H24,"No STAR available, expect ATC instructions",,LE,
LE5721,LECO,,TURON,"NOT AVBL FOR TFC
DEP MADRID_GROUP
------
COMPULSORY FOR TFC
Via PINEK DCT TURON with RFL above FL245",H24,"No STAR available, expect ATC instruction",,LE,
LE5556,LECO,,SO,"ONLY AVBL FOR TFC
via
DEP LEST / VX",H24,"Traffic allocation for arriving traffic / 
No STAR available, expect ATC instructions",,LE,
LE5695,LEGE,KANIG,,"COMPULSORY FOR TFC
ARR LEGE via KANIG",H24,"To get the correct Flight Plan for
the traffic",,LE,
LE5561,LEGR,,GDA,"ONLY AVBL AND COMPULSORY FOR TFC
DEP LEMG",H24,"Traffic allocation within Sevilla TMA
No STAR available, expect ATC instructions",,LE,
LE5563,LEIB,NEVIC,,"ONLY AVBL AND COMPULSORY FOR TFC
DEP LEMH / SL",H24,Traffic allocation within Palma TMA,,LE,
LE5564,LEIB,TOLSO,,"ONLY AVBL AND COMPULSORY FOR TFC
1. DEP LEBL / LL / RS
2. With RFL below FL195",H24,Traffic allocation between Barcelona and Palma TMA,,LE,
LE5565,LEJR,,JRZ,"ONLY AVBL FOR TFC
DEP LEMG / ZL/ JR
------
COMPULSORY FOR TFC
DEP LEMG/ZL",H24,"Traffic allocation within Sevilla TMA
No STAR available, expect ATC instructions",,LE,
LE5566,LEMD,ADUXO,,"NOT AVBL FOR TFC
Via ZAR 
Traffic shall file ZAR UZ245 TERSA",H24,To segregate arrival flows,,LE,
LE5725,LEMD,VILLA,,"NOT AVBL FOR TFC
Via TERSA 
Traffic shall file TERSA STAR",H24,To allocate correctly arriving traffic,,LE,
LE5571,LEMD,TLD,,"NOT AVBL FOR TFC
via
1. PARKA 
    Traffic shall file PARKA UZ165
    SOTUK
2. SOTUK UZ230 TLD 
    Traffic shall file SOTUK CP
3. ZMR
    This traffic shall file ZMR CP",H24,"To segregate arrival and overflight flows
To allocate correctly arriving traffic",,LE,
LE5568,LEMD,RIDAV,,"COMPULSORY FOR TFC
Via BARDI",H24,To allocate correctly arriving traffic,,LE,
LE5570,LEMD,,TJZ,"ONLY AVBL AND COMPULSORY FOR TFC
Type M
DEP LETO",H24,"No STAR available, expect ATC instructions",,LE,
LE5574,LEMG,VIBAS,,"NOT AVBL FOR TFC
via
1. BLN 
     Traffic shall file BLN STAR
2. RESTU 
     Traffic shall file ROLAS STAR",H24,To allocate correctly arriving traffic,,LE,
LE5572,LEMG,,GDA,"ONLY AVBL AND COMPULSORY FOR TFC
DEP LEGR",H24,"Traffic allocation within Sevilla TMA
No STAR available, expect ATC instructions",,LE,
LE5575,LEMH,KABRE,,"ONLY AVBL AND COMPULSORY FOR TFC
DEP LEIB",H24,Traffic allocation within Palma TMA,,LE,
LE5576,LEMH,,MHN,"ONLY AVBL AND COMPULSORY FOR TFC
DEP PALMA_GROUP",H24,"Traffic allocation within Palma TMA
No STAR available, expect ATC instructions",,LE,
LE5578,LEMO,,"BLN,HIJ,VJF,MGA,VIBAS,CLANA,ONUBA,MAR","ONLY AVBL FOR TFC
Type M",H24,"No STAR available via:
a. VJF, expect routing via VJF-PENAS-MRN.
b. MGA, expect routing via MGA-PENAS-MRN.
c. VIBAS / CLANA / ONUBA / MAR, expect ATC instructions.",,LE,
LE5580,LEMO,,SANTA,"ONLY AVBL FOR TFC
Type M
DEP LEBZ",H24,"No STAR available, expect ATC instructions",,LE,
LE5582,LEPA,LAMPA,,"ONLY AVBL AND COMPULSORY FOR TFC
DEP LEIB",H24,Traffic allocation within Palma TMA,,LE,
